ISSN,PMID,DOI,Available on ScienceDirect,Available on PubMed Central,Available on LibGen
1445-8330,37417533,10.1111/inm.13191,False,None,None
1445-8330,37409788,10.1111/inm.13190,False,None,None
1445-8330,37409776,10.1111/inm.13189,False,None,None
1445-8330,37403842,10.1111/inm.13186,False,None,None
1445-8330,37381096,10.1111/inm.13188,False,None,None
1445-8330,37341210,10.1111/inm.13181,False,None,None
1445-8330,37332262,10.1111/inm.13187,False,None,None
1445-8330,37332254,10.1111/inm.13185,False,None,None
1445-8330,37314060,10.1111/inm.13183,False,None,None
1445-8330,37303264,10.1111/inm.13184,False,None,None
1445-8330,37296514,10.1111/inm.13182,False,None,None
1445-8330,37278366,10.1111/inm.13180,False,None,None
1445-8330,37249199,10.1111/inm.13179,False,None,None
1445-8330,37249194,10.1111/inm.13178,False,None,None
1445-8330,37243419,10.1111/inm.13175,False,None,None
1445-8330,37243407,10.1111/inm.13173,False,None,None
1445-8330,37243405,10.1111/inm.13176,False,None,None
1445-8330,37232042,10.1111/inm.13177,False,None,None
1445-8330,37231985,10.1111/inm.13174,False,None,None
1445-8330,37226413,10.1111/inm.13164,False,None,None
1445-8330,37226408,10.1111/inm.13171,False,None,None
1445-8330,37226402,10.1111/inm.13172,False,None,None
1445-8330,37170848,10.1111/inm.13163,False,None,None
1445-8330,37150932,10.1111/inm.13162,False,None,None
1445-8330,37150928,10.1111/inm.13161,False,None,None
1445-8330,37138469,10.1111/inm.13159,False,None,None
1445-8330,37138450,10.1111/inm.13160,False,None,None
1445-8330,37114682,10.1111/inm.13157,False,None,None
1445-8330,37114681,10.1111/inm.13156,False,None,None
1445-8330,37098744,10.1111/inm.13158,False,None,None
1445-8330,37070663,10.1111/inm.13154,False,None,None
1445-8330,37066736,10.1111/inm.13155,False,None,None
1445-8330,37036136,10.1111/inm.13152,False,None,None
1445-8330,37025073,10.1111/inm.13148,False,None,None
1445-8330,37021349,10.1111/inm.13150,False,None,None
1445-8330,37021338,10.1111/inm.13149,False,None,None
1445-8330,37021335,10.1111/inm.13151,False,None,None
1445-8330,36994904,10.1111/inm.13147,False,None,None
1445-8330,36992654,10.1111/inm.13146,False,None,None
1445-8330,36978242,10.1111/inm.13144,False,None,None
1445-8330,36978207,10.1111/inm.13145,False,None,None
1445-8330,36978177,10.1111/inm.13141,False,None,None
1445-8330,36974368,10.1111/inm.13143,False,None,None
1445-8330,36971150,10.1111/inm.13142,False,None,None
1445-8330,36939066,10.1111/inm.13138,False,None,None
1445-8330,36929104,10.1111/inm.13140,False,None,None
1445-8330,36912457,10.1111/inm.13139,False,None,None
1445-8330,36882964,10.1111/inm.13137,False,None,None
1445-8330,36880520,10.1111/inm.13136,False,None,None
1445-8330,36864583,10.1111/inm.13131,False,None,None
1445-8330,36861759,10.1111/inm.13134,False,None,None
1445-8330,36861747,10.1111/inm.13133,False,None,None
1445-8330,36854950,10.1111/inm.13132,False,None,None
1445-8330,36825444,10.1111/inm.13135,False,None,None
1445-8330,36808863,10.1111/inm.13126,False,None,None
1445-8330,36807430,10.1111/inm.13130,False,None,None
1445-8330,36788653,10.1111/inm.13123,False,None,None
1445-8330,36785911,10.1111/inm.13129,False,None,None
1445-8330,36785907,10.1111/inm.13128,False,None,None
1445-8330,36779424,10.1111/inm.13127,False,None,None
1445-8330,36744685,10.1111/inm.13125,False,None,None
1445-8330,36744684,10.1111/inm.13114,False,None,None
1445-8330,36727283,10.1111/inm.13124,False,None,None
1445-8330,36718048,10.1111/inm.13122,False,None,None
1445-8330,36715172,10.1111/inm.13121,False,None,None
1445-8330,36715170,10.1111/inm.13112,False,None,None
1445-8330,36705234,10.1111/inm.13120,False,None,None
1445-8330,36705232,10.1111/inm.13115,False,None,None
1445-8330,36695412,10.1111/inm.13119,False,None,None
1445-8330,36650692,10.1111/inm.13118,False,None,None
1445-8330,36645077,10.1111/inm.13116,False,None,None
1445-8330,36645058,10.1111/inm.13117,False,None,None
1445-8330,36635921,10.1111/inm.13107,False,None,None
1445-8330,36628477,10.1111/inm.13113,False,None,None
1445-8330,36621528,10.1111/inm.13111,False,None,None
1445-8330,36594459,10.1111/inm.13109,False,None,None
1445-8330,36594457,10.1111/inm.13105,False,None,None
1445-8330,36594443,10.1111/inm.13110,False,None,None
1445-8330,36582129,10.1111/inm.13099,False,None,None
1445-8330,36575801,10.1111/inm.13101,False,None,None
1445-8330,36567487,10.1111/inm.13104,False,None,None
1445-8330,36562518,10.1111/inm.13108,False,None,None
1445-8330,36562517,10.1111/inm.13106,False,None,None
1445-8330,36534491,10.1111/inm.13103,False,None,None
1445-8330,36533717,10.1111/inm.13100,False,None,None
1445-8330,36524302,10.1111/inm.13102,False,None,None
1445-8330,36478635,10.1111/inm.13098,False,None,None
1445-8330,36461629,10.1111/inm.13097,False,PMC9878253,None
1445-8330,36408959,10.1111/inm.13095,False,None,None
1445-8330,36408951,10.1111/inm.13094,False,None,None
1445-8330,36404418,10.1111/inm.13096,False,None,None
1445-8330,36385730,10.1111/inm.13093,False,None,None
1445-8330,36379908,10.1111/inm.13072,False,PMC9825923,None
1445-8330,36373845,10.1111/inm.13090,False,None,None
1445-8330,36369666,10.1111/inm.13091,False,None,None
1445-8330,36369663,10.1111/inm.13089,False,None,None
1445-8330,36345037,10.1111/inm.13092,False,None,None
1445-8330,36344456,10.1111/inm.13088,False,None,None
1445-8330,36344441,10.1111/inm.13087,False,None,None
1445-8330,36330581,10.1111/inm.13086,False,PMC9877867,None
1445-8330,36330563,10.1111/inm.13083,False,None,None
1445-8330,36317375,10.1111/inm.13085,False,None,None
1445-8330,36300668,10.1111/inm.13081,False,None,None
1445-8330,36300644,10.1111/inm.13082,False,None,None
1445-8330,36285570,10.1111/inm.13084,False,None,None
1445-8330,36285548,10.1111/inm.13080,False,None,None
1445-8330,36226745,10.1111/inm.13078,False,None,None
1445-8330,36199271,10.1111/inm.13074,False,None,None
1445-8330,36184875,10.1111/inm.13079,False,None,None
1445-8330,36184847,10.1111/inm.13076,False,None,None
1445-8330,36184845,10.1111/inm.13075,False,PMC9538421,None
1445-8330,36184843,10.1111/inm.13077,False,None,None
1445-8330,36176263,10.1111/inm.13069,False,PMC9538840,None
1445-8330,36176247,10.1111/inm.13073,False,None,None
1445-8330,36117317,10.1111/inm.13066,False,None,None
1445-8330,36109880,10.1111/inm.13071,False,None,None
1445-8330,36104975,10.1111/inm.13067,False,None,None
1445-8330,36097408,10.1111/inm.13063,False,PMC9538577,None
1445-8330,36097405,10.1111/inm.13070,False,None,None
1445-8330,36082875,10.1111/inm.13068,False,None,None
1445-8330,36082841,10.1111/inm.13065,False,None,None
1445-8330,36070221,10.1111/inm.13064,False,None,None
1445-8330,36070004,10.1111/inm.13060,False,PMC9538427,None
1445-8330,36052642,10.1111/inm.13062,False,None,None
1445-8330,36029474,10.1111/inm.13056,False,None,None
1445-8330,36008915,10.1111/inm.13057,False,PMC9804535,None
1445-8330,36008889,10.1111/inm.13059,False,PMC9805183,None
1445-8330,35996859,10.1111/inm.13055,False,None,None
1445-8330,35989567,10.1111/inm.13053,False,PMC9538805,None
1445-8330,35986578,10.1111/inm.13054,False,None,None
1445-8330,35976725,10.1111/inm.13042,False,None,None
1445-8330,35976724,10.1111/inm.13047,False,PMC9804631,None
1445-8330,35974659,10.1111/inm.13045,False,PMC9804252,None
1445-8330,35957615,10.1111/inm.13052,False,PMC9538055,None
1445-8330,35938946,10.1111/inm.13048,False,None,None
1445-8330,35938942,10.1111/inm.13046,False,PMC9538541,None
1445-8330,35909095,10.1111/inm.13043,False,PMC9796325,None
1445-8330,35872607,10.1111/inm.13044,False,PMC9796273,None
1445-8330,35841342,10.1111/inm.13041,False,PMC9796913,None
1445-8330,35815952,10.1111/inm.13040,False,None,None
1445-8330,35789190,10.1111/inm.13039,False,PMC9795868,None
1445-8330,35779266,10.1111/inm.13038,False,PMC9796432,None
1445-8330,35718951,10.1111/inm.13034,False,PMC9796883,None
1445-8330,35695678,10.1111/inm.13029,False,None,None
1445-8330,35637556,10.1111/inm.13027,False,None,None
1445-8330,35598319,10.1111/inm.13024,False,PMC9790581,None
0966-0429,36468368,10.1111/jonm.13450,False,PMC9877982,None
0966-0429,36468300,10.1111/jonm.13734,False,None,None
0966-0429,36336904,10.1111/jonm.13879,False,None,None
0966-0429,36336824,10.1111/jonm.13882,False,PMC10100461,None
0966-0429,36329678,10.1111/jonm.13894,False,PMC10100477,None
0966-0429,36329647,10.1111/jonm.13888,False,PMC10098485,None
0966-0429,36326612,10.1111/jonm.13895,False,None,None
0966-0429,36326591,10.1111/jonm.13896,False,PMC9877688,None
0966-0429,36326491,10.1111/jonm.13893,False,None,None
0966-0429,36326282,10.1111/jonm.13885,False,PMC10100372,None
0966-0429,36326215,10.1111/jonm.13891,False,None,None
0966-0429,36326205,10.1111/jonm.13887,False,PMC10099329,None
0966-0429,36326092,10.1111/jonm.13884,False,None,None
0966-0429,36326077,10.1111/jonm.13881,False,PMC9877839,None
0966-0429,36326061,10.1111/jonm.13883,False,PMC10098756,None
0966-0429,36325974,10.1111/jonm.13890,False,PMC9878042,None
0966-0429,36325914,10.1111/jonm.13880,False,PMC9877660,None
0966-0429,36325798,10.1111/jonm.13889,False,PMC9878052,None
0966-0429,36325759,10.1111/jonm.13892,False,PMC10099921,None
0966-0429,36325680,10.1111/jonm.13886,False,PMC10099508,None
0966-0429,36281794,10.1111/jonm.13878,False,None,None
0966-0429,36262030,10.1111/jonm.13877,False,None,None
0966-0429,36257924,10.1111/jonm.13874,False,None,None
0966-0429,36239549,10.1111/jonm.13876,False,None,None
0966-0429,36223165,10.1111/jonm.13872,False,PMC10091940,None
0966-0429,36219540,10.1111/jonm.13867,False,None,None
0966-0429,36219534,10.1111/jonm.13869,False,None,None
0966-0429,36219523,10.1111/jonm.13868,False,PMC10099550,None
0966-0429,36219512,10.1111/jonm.13870,False,None,None
0966-0429,36217683,10.1111/jonm.13866,False,PMC10092084,None
0966-0429,36216773,10.1111/jonm.13851,False,PMC10092524,None
0966-0429,36208194,10.1111/jonm.13859,False,PMC9874760,None
0966-0429,36208138,10.1111/jonm.13865,False,None,None
0966-0429,36208135,10.1111/jonm.13864,False,PMC9874863,None
0966-0429,36206481,10.1111/jonm.13860,False,PMC10091795,None
0966-0429,36205923,10.1111/jonm.13862,False,None,None
0966-0429,36205698,10.1111/jonm.13861,False,None,None
0966-0429,36205633,10.1111/jonm.13863,False,PMC9874470,None
0966-0429,36205051,10.1111/jonm.13852,False,None,None
0966-0429,36201227,10.1111/jonm.13858,False,None,None
0966-0429,36200560,10.1111/jonm.13856,False,PMC10091796,None
0966-0429,36198011,10.1111/jonm.13855,False,PMC9874631,None
0966-0429,36197805,10.1111/jonm.13857,False,PMC9874776,None
0966-0429,36197748,10.1111/jonm.13853,False,PMC10092211,None
0966-0429,36196679,10.1111/jonm.13847,False,None,None
0966-0429,36194472,10.1111/jonm.13843,False,PMC10092559,None
0966-0429,36194470,10.1111/jonm.13844,False,PMC9874585,None
0966-0429,36194439,10.1111/jonm.13845,False,PMC9874737,None
0966-0429,36194367,10.1111/jonm.13846,False,PMC9874529,None
0966-0429,36194186,10.1111/jonm.13828,False,None,None
0966-0429,36193552,10.1111/jonm.13833,False,None,None
0966-0429,36193037,10.1111/jonm.13834,False,None,None
0966-0429,36193022,10.1111/jonm.13837,False,PMC9874516,None
0966-0429,36192833,10.1111/jonm.13836,False,PMC10092661,None
0966-0429,36192820,10.1111/jonm.13841,False,None,None
0966-0429,36192809,10.1111/jonm.13838,False,None,None
0966-0429,36191302,10.1111/jonm.13832,False,PMC9874521,None
0966-0429,36190738,10.1111/jonm.13827,False,PMC10092892,None
0966-0429,36190727,10.1111/jonm.13830,False,None,None
0966-0429,36190519,10.1111/jonm.13826,False,None,None
0966-0429,36190507,10.1111/jonm.13831,False,PMC9874867,None
0966-0429,36190480,10.1111/jonm.13829,False,PMC10092518,None
0966-0429,36179722,10.1111/jonm.13825,False,PMC9539309,None
0966-0429,36177709,10.1111/jonm.13823,False,None,None
0966-0429,36125938,10.1111/jonm.13807,False,PMC10092467,None
0966-0429,36124426,10.1111/jonm.13802,False,PMC10086830,None
0966-0429,36071554,10.1111/jonm.13798,False,PMC10086962,None
0966-0429,36063427,10.1111/jonm.13790,False,PMC9537967,None
0966-0429,36057432,10.1111/jonm.13787,False,None,None
0966-0429,35970487,10.1111/jonm.13769,False,PMC10087264,None
0966-0429,35970485,10.1111/jonm.13770,False,None,None
0966-0429,35946085,10.1111/jonm.13751,False,PMC9537774,None
0966-0429,35941786,10.1111/jonm.13760,False,None,None
0966-0429,35899457,10.1111/jonm.13749,False,None,None
0966-0429,35862237,10.1111/jonm.13743,False,None,None
0966-0429,35816560,10.1111/jonm.13736,False,None,None
0966-0429,35484921,10.1111/jonm.13653,False,PMC9115189,None
0966-0429,35474366,10.1111/jonm.13646,False,None,None
0966-0429,35411629,10.1111/jonm.13630,False,PMC10084062,None
0966-0429,35213935,10.1111/jonm.13566,False,None,None
0966-0429,35066952,10.1111/jonm.13549,False,None,None
0966-0429,34806243,10.1111/jonm.13521,False,None,None
0966-0429,34661943,10.1111/jonm.13495,False,None,None
0966-0429,34529301,10.1111/jonm.13472,False,None,None
0966-0429,34350650,10.1111/jonm.13439,False,None,None
0966-0429,34350638,10.1111/jonm.13441,False,None,None
0966-0429,34272911,10.1111/jonm.13425,False,None,None
0962-1067,37493000,10.1111/jocn.16834,False,None,None
0962-1067,37492975,10.1111/jocn.16838,False,None,None
0962-1067,37491890,10.1111/jocn.16833,False,None,None
0962-1067,37489643,10.1111/jocn.16835,False,None,None
0962-1067,37485967,10.1111/jocn.16837,False,None,None
0962-1067,37485751,10.1111/jocn.16823,False,None,None
0962-1067,37485726,10.1111/jocn.16839,False,None,None
0962-1067,37477168,10.1111/jocn.16836,False,None,None
0962-1067,37477159,10.1111/jocn.16827,False,None,None
0962-1067,37475608,10.1111/jocn.16832,False,None,None
0962-1067,37470113,10.1111/jocn.16829,False,None,None
0962-1067,37469207,10.1111/jocn.16830,False,None,None
0962-1067,37466105,10.1111/jocn.16828,False,None,None
0962-1067,37462350,10.1111/jocn.16825,False,None,None
0962-1067,37462332,10.1111/jocn.16783,False,None,None
0962-1067,37462296,10.1111/jocn.16824,False,None,None
0962-1067,37458214,10.1111/jocn.16796,False,None,None
0962-1067,37458191,10.1111/jocn.16826,False,None,None
0962-1067,37458172,10.1111/jocn.16821,False,None,None
0962-1067,37439324,10.1111/jocn.16782,False,None,None
0962-1067,37421611,10.1111/jocn.16813,False,None,None
0962-1067,37409420,10.1111/jocn.16777,False,None,None
0962-1067,37404006,10.1111/jocn.16822,False,None,None
0962-1067,37403644,10.1111/jocn.16820,False,None,None
0962-1067,37401765,10.1111/jocn.16819,False,None,None
0962-1067,37395161,10.1111/jocn.16765,False,None,None
0962-1067,37395139,10.1111/jocn.16815,False,None,None
0962-1067,37382085,10.1111/jocn.16812,False,None,None
0962-1067,37377108,10.1111/jocn.16811,False,None,None
0962-1067,37370254,10.1111/jocn.16817,False,None,None
0962-1067,37370251,10.1111/jocn.16816,False,None,None
0962-1067,37365933,10.1111/jocn.16814,False,None,None
0962-1067,37365921,10.1111/jocn.16818,False,None,None
0962-1067,37365897,10.1111/jocn.16810,False,None,None
0962-1067,37357439,10.1111/jocn.16698,False,None,None
0962-1067,37353967,10.1111/jocn.16798,False,None,None
0962-1067,37353965,10.1111/jocn.16802,False,None,None
0962-1067,37353963,10.1111/jocn.16806,False,None,None
0962-1067,37353949,10.1111/jocn.16807,False,None,None
0962-1067,37345863,10.1111/jocn.16803,False,None,None
0962-1067,37345621,10.1111/jocn.16808,False,None,None
0962-1067,37341067,10.1111/jocn.16801,False,None,None
0962-1067,37340914,10.1111/jocn.16763,False,None,None
0962-1067,37340626,10.1111/jocn.16804,False,None,None
0962-1067,37340624,10.1111/jocn.16786,False,None,None
0962-1067,37340615,10.1111/jocn.16809,False,None,None
0962-1067,37337624,10.1111/jocn.16805,False,None,None
0962-1067,37335081,10.1111/jocn.16800,False,None,None
0962-1067,37323097,10.1111/jocn.16773,False,None,None
0962-1067,37317613,10.1111/jocn.16799,False,None,None
0962-1067,37314051,10.1111/jocn.16789,False,None,None
0962-1067,37309067,10.1111/jocn.16794,False,None,None
0962-1067,37309059,10.1111/jocn.16792,False,None,None
0962-1067,37303290,10.1111/jocn.16797,False,None,None
0962-1067,37303262,10.1111/jocn.16784,False,None,None
0962-1067,37303250,10.1111/jocn.16795,False,None,None
0962-1067,37303229,10.1111/jocn.16791,False,None,None
0962-1067,37300363,10.1111/jocn.16787,False,None,None
0962-1067,37300340,10.1111/jocn.16788,False,None,None
0962-1067,37300246,10.1111/jocn.16790,False,None,None
0962-1067,37291795,10.1111/jocn.16793,False,None,None
0962-1067,37287127,10.1111/jocn.16768,False,None,None
0962-1067,37283206,10.1111/jocn.16775,False,None,None
0962-1067,37283198,10.1111/jocn.16778,False,None,None
0962-1067,37283193,10.1111/jocn.16781,False,None,None
0962-1067,37282326,10.1111/jocn.16682,False,None,None
0962-1067,37277982,10.1111/jocn.16785,False,None,None
0962-1067,37277914,10.1111/jocn.16779,False,None,None
0962-1067,37272285,10.1111/jocn.16780,False,None,None
0962-1067,37272211,10.1111/jocn.16767,False,None,None
0962-1067,37272209,10.1111/jocn.16776,False,None,None
0962-1067,37269058,10.1111/jocn.16760,False,None,None
0962-1067,37264682,10.1111/jocn.16772,False,None,None
0962-1067,37264503,10.1111/jocn.16764,False,None,None
0962-1067,37246840,10.1111/jocn.16732,False,None,None
0962-1067,37245069,10.1111/jocn.16769,False,None,None
0962-1067,37245068,10.1111/jocn.16774,False,None,None
0962-1067,37245067,10.1111/jocn.16770,False,None,None
0962-1067,37243448,10.1111/jocn.16766,False,None,None
0962-1067,37243430,10.1111/jocn.16771,False,None,None
