ISSN,PMID
0020-7489,36208541
0020-7489,36206617
0020-7489,36162190
0020-7489,36152467
0020-7489,36152466
0020-7489,36123172
0020-7489,36122491
0020-7489,36116327
0020-7489,36095903
0020-7489,36088732
0020-7489,36088731
0020-7489,36084529
0020-7489,36031437
0020-7489,36029550
0020-7489,35986960
0020-7489,35985180
0020-7489,35981913
0020-7489,35981449
0020-7489,35952535
0020-7489,35944288
0020-7489,35932711
1445-8330,37522422
1445-8330,37477147
1445-8330,37475208
1445-8330,37464582
1445-8330,37458217
1445-8330,37449535
1445-8330,37417533
1445-8330,37409788
1445-8330,37409776
1445-8330,37403842
1445-8330,37381096
1445-8330,37341210
1445-8330,37332262
1445-8330,37332254
1445-8330,37314060
1445-8330,37303264
1445-8330,37296514
1445-8330,37278366
1445-8330,37249199
1445-8330,37249194
1445-8330,37243419
1445-8330,37243407
1445-8330,37243405
1445-8330,37232042
1445-8330,37231985
1445-8330,37226413
1445-8330,37226408
1445-8330,37226402
1445-8330,37170848
1445-8330,37150932
1445-8330,37150928
1445-8330,37138469
1445-8330,37138450
1445-8330,37114682
1445-8330,37114681
1445-8330,37098744
1445-8330,37070663
1445-8330,37066736
1445-8330,37036136
1445-8330,37025073
1445-8330,37021349
1445-8330,37021338
1445-8330,37021335
1445-8330,36994904
1445-8330,36992654
1445-8330,36978242
1445-8330,36978207
1445-8330,36978177
1445-8330,36974368
1445-8330,36971150
1445-8330,36939066
1445-8330,36929104
1445-8330,36912457
1445-8330,36882964
1445-8330,36880520
1445-8330,36864583
1445-8330,36861759
1445-8330,36861747
1445-8330,36854950
1445-8330,36825444
1445-8330,36808863
1445-8330,36807430
1445-8330,36788653
1445-8330,36785911
1445-8330,36785907
1445-8330,36779424
1445-8330,36744685
1445-8330,36744684
1445-8330,36727283
1445-8330,36718048
1445-8330,36715172
1445-8330,36715170
1445-8330,36705234
1445-8330,36705232
1445-8330,36695412
1445-8330,36650692
1445-8330,36645077
1445-8330,36645058
1445-8330,36635921
1445-8330,36628477
1445-8330,36621528
1445-8330,36594459
1445-8330,36594457
1445-8330,36594443
1445-8330,36582129
1445-8330,36575801
1445-8330,36567487
1445-8330,36562518
1445-8330,36562517
1445-8330,36534491
1445-8330,36533717
1445-8330,36524302
1445-8330,36478635
1445-8330,36461629
1445-8330,36408959
1445-8330,36408951
1445-8330,36404418
1445-8330,36385730
1445-8330,36379908
1445-8330,36373845
1445-8330,36369666
1445-8330,36369663
1445-8330,36345037
1445-8330,36344456
1445-8330,36344441
1445-8330,36330581
1445-8330,36330563
1445-8330,36317375
1445-8330,36300668
1445-8330,36300644
1445-8330,36285570
1445-8330,36285548
1445-8330,36226745
1445-8330,36199271
1445-8330,36184875
1445-8330,36184847
1445-8330,36184845
1445-8330,36184843
1445-8330,36176263
1445-8330,36176247
1445-8330,36117317
1445-8330,36109880
1445-8330,36104975
1445-8330,36097408
1445-8330,36097405
1445-8330,36082875
1445-8330,36082841
1445-8330,36070221
1445-8330,36070004
1445-8330,36052642
1445-8330,36029474
1445-8330,36008915
1445-8330,36008889
1445-8330,35996859
1445-8330,35989567
1445-8330,35986578
1445-8330,35976725
1445-8330,35976724
1445-8330,35974659
1445-8330,35957615
1445-8330,35938946
1445-8330,35938942
1445-8330,35909095
1445-8330,35872607
1445-8330,35841342
1445-8330,35815952
1445-8330,35789190
1445-8330,35779266
1445-8330,35718951
1445-8330,35695678
1445-8330,35637556
1445-8330,35598319
0966-0429,36468368
0966-0429,36468300
0966-0429,36336904
0966-0429,36336824
0966-0429,36329678
0966-0429,36329647
0966-0429,36326612
0966-0429,36326591
0966-0429,36326491
0966-0429,36326282
0966-0429,36326215
0966-0429,36326205
0966-0429,36326092
0966-0429,36326077
0966-0429,36326061
0966-0429,36325974
0966-0429,36325914
0966-0429,36325798
0966-0429,36325759
0966-0429,36325680
0966-0429,36281794
0966-0429,36262030
0966-0429,36257924
0966-0429,36239549
0966-0429,36223165
0966-0429,36219540
0966-0429,36219534
0966-0429,36219523
0966-0429,36219512
0966-0429,36217683
0966-0429,36216773
0966-0429,36208194
0966-0429,36208138
0966-0429,36208135
0966-0429,36206481
0966-0429,36205923
0966-0429,36205698
0966-0429,36205633
0966-0429,36205051
0966-0429,36201227
0966-0429,36200560
0966-0429,36198011
0966-0429,36197805
0966-0429,36197748
0966-0429,36196679
0966-0429,36194472
0966-0429,36194470
0966-0429,36194439
0966-0429,36194367
0966-0429,36194186
0966-0429,36193552
0966-0429,36193037
0966-0429,36193022
0966-0429,36192833
0966-0429,36192820
0966-0429,36192809
0966-0429,36191302
0966-0429,36190738
0966-0429,36190727
0966-0429,36190519
0966-0429,36190507
0966-0429,36190480
0966-0429,36179722
0966-0429,36177709
0966-0429,36125938
0966-0429,36124426
0966-0429,36071554
0966-0429,36063427
0966-0429,36057432
0966-0429,35970487
0966-0429,35970485
0966-0429,35946085
0966-0429,35941786
0966-0429,35899457
0966-0429,35862237
0966-0429,35816560
0966-0429,35484921
0966-0429,35474366
0966-0429,35411629
0966-0429,35213935
0966-0429,35066952
0966-0429,34806243
0966-0429,34661943
0966-0429,34529301
0966-0429,34350650
0966-0429,34350638
0966-0429,34272911
0962-1067,37493000
0962-1067,37492975
0962-1067,37491890
0962-1067,37489643
0962-1067,37485967
0962-1067,37485751
0962-1067,37485726
0962-1067,37477168
0962-1067,37477159
0962-1067,37475608
0962-1067,37470113
0962-1067,37469207
0962-1067,37466105
0962-1067,37462350
0962-1067,37462332
0962-1067,37462296
0962-1067,37458214
0962-1067,37458191
0962-1067,37458172
0962-1067,37439324
0962-1067,37421611
0962-1067,37409420
0962-1067,37404006
0962-1067,37403644
0962-1067,37401765
0962-1067,37395161
0962-1067,37395139
0962-1067,37382085
0962-1067,37377108
0962-1067,37370254
0962-1067,37370251
0962-1067,37365933
0962-1067,37365921
0962-1067,37365897
0962-1067,37357439
0962-1067,37353967
0962-1067,37353965
0962-1067,37353963
0962-1067,37353949
0962-1067,37345863
0962-1067,37345621
0962-1067,37341067
0962-1067,37340914
0962-1067,37340626
0962-1067,37340624
0962-1067,37340615
0962-1067,37337624
0962-1067,37335081
0962-1067,37323097
0962-1067,37317613
0962-1067,37314051
0962-1067,37309067
0962-1067,37309059
0962-1067,37303290
0962-1067,37303262
0962-1067,37303250
0962-1067,37303229
0962-1067,37300363
0962-1067,37300340
0962-1067,37300246
0962-1067,37291795
0962-1067,37287127
0962-1067,37283206
0962-1067,37283198
0962-1067,37283193
0962-1067,37282326
0962-1067,37277982
0962-1067,37277914
0962-1067,37272285
0962-1067,37272211
0962-1067,37272209
0962-1067,37269058
0962-1067,37264682
0962-1067,37264503
0962-1067,37246840
0962-1067,37245069
0962-1067,37245068
0962-1067,37245067
0962-1067,37243448
0962-1067,37243430
0962-1067,37222026
0962-1067,37221928
0962-1067,37219354
0962-1067,37219019
0962-1067,37212652
0962-1067,37210679
0962-1067,37204006
0962-1067,37202866
0962-1067,37194403
0962-1067,37194138
0962-1067,37190669
0962-1067,37186422
0962-1067,37186006
0962-1067,37179528
0962-1067,37173828
0962-1067,37170706
0962-1067,37166364
0962-1067,37166281
0962-1067,37161602
0962-1067,37161555
0962-1067,37157136
0962-1067,37154497
0962-1067,37149845
0962-1067,37149743
0962-1067,37149742
0962-1067,37149737
0962-1067,37149735
0962-1067,37140186
0962-1067,37132445
0962-1067,37132115
0962-1067,37127929
0962-1067,37118865
0962-1067,37118863
0962-1067,37097007
0962-1067,37095612
0962-1067,37095609
0962-1067,37087695
0962-1067,37083151
0962-1067,37082879
0962-1067,37082871
0962-1067,37082837
0962-1067,37078453
0962-1067,37078099
0962-1067,37073684
0962-1067,37073414
0962-1067,37073113
0962-1067,37067394
0962-1067,37067375
0962-1067,37062028
0962-1067,37062011
0962-1067,37060200
0962-1067,37041700
0962-1067,37038693
0962-1067,37035861
0962-1067,37032649
0962-1067,37032642
0962-1067,37029475
0962-1067,37024426
0962-1067,37016501
0962-1067,37004198
0962-1067,36994545
0962-1067,36975841
0962-1067,36971479
0962-1067,36970881
0962-1067,36967562
0962-1067,36967549
0962-1067,36949278
0962-1067,36946424
0962-1067,36945137
0962-1067,36945129
0962-1067,36945127
0962-1067,36945074
0962-1067,36932419
0962-1067,36932041
0962-1067,36929168
0962-1067,36924125
0962-1067,36924051
0962-1067,36922725
0962-1067,36922724
0962-1067,36919674
0962-1067,36916107
0962-1067,36915950
0962-1067,36915223
0962-1067,36912707
0962-1067,36899476
0962-1067,36895018
0962-1067,36894868
0962-1067,36894524
0962-1067,36894523
0962-1067,36880273
0962-1067,36880224
0962-1067,36880219
0962-1067,36880216
0962-1067,36876455
0962-1067,36871173
0962-1067,36869620
0962-1067,36869616
0962-1067,36864610
0962-1067,36855220
0962-1067,36850042
0962-1067,36841963
0962-1067,36841961
0962-1067,36841960
0962-1067,36823714
0962-1067,36823713
0962-1067,36823709
0962-1067,36823696
0962-1067,36823692
0962-1067,36810923
0962-1067,36810814
0962-1067,36808668
0962-1067,36808667
0962-1067,36807590
0962-1067,36802111
0962-1067,36802108
0962-1067,36802081
0962-1067,36797214
0962-1067,36792068
0962-1067,36788640
0962-1067,36775886
0962-1067,36774543
0962-1067,36760012
0962-1067,36751030
0962-1067,36746776
0962-1067,36740779
0962-1067,36740770
0962-1067,36740763
0962-1067,36737840
0962-1067,36734355
0962-1067,36732059
0962-1067,36724765
0962-1067,36717978
0962-1067,36717977
0962-1067,36710398
0962-1067,36710394
0962-1067,36710385
0962-1067,36710379
0962-1067,36707923
0962-1067,36707921
0962-1067,36703266
0962-1067,36691328
0962-1067,36681869
0962-1067,36680417
0962-1067,36658779
0962-1067,36658683
0962-1067,36653948
0962-1067,36653924
0962-1067,36653922
0962-1067,36639947
0962-1067,36635867
0962-1067,36635851
0962-1067,36604856
0962-1067,36604845
0962-1067,36599809
0962-1067,36597215
0962-1067,36578129
0962-1067,36566346
0962-1067,36564890
0962-1067,36550593
0962-1067,36539931
0962-1067,36536514
0962-1067,36529496
0962-1067,36528871
0962-1067,36514246
0962-1067,36514211
0962-1067,36494871
0962-1067,36494199
0962-1067,36478620
0962-1067,36478598
0962-1067,36468371
0962-1067,36460485
0962-1067,36460483
0962-1067,36460481
0962-1067,36448208
0962-1067,36447340
0962-1067,36447338
0962-1067,36437490
0962-1067,36435976
0962-1067,36426658
0962-1067,36424709
0962-1067,36424691
0962-1067,36419234
0962-1067,36414397
0962-1067,36380463
0962-1067,36380461
0962-1067,36380458
0962-1067,36369989
0962-1067,36369607
0962-1067,36352533
0962-1067,36345689
0962-1067,36345135
0962-1067,36345133
0962-1067,36345120
0962-1067,36336832
0962-1067,36333860
0962-1067,36324244
0962-1067,36324243
0962-1067,36320127
0962-1067,36320123
0962-1067,36320122
0962-1067,36303332
0962-1067,36303328
0962-1067,36281203
0962-1067,36281077
0962-1067,36281076
0962-1067,36281074
0962-1067,36281073
0962-1067,36268660
0962-1067,36262024
0962-1067,36229899
0962-1067,36229896
0962-1067,36225146
0962-1067,36225135
0962-1067,36221311
0962-1067,36217241
0962-1067,36209357
0962-1067,36200286
0962-1067,36200145
0962-1067,36183198
0962-1067,36183197
0962-1067,36181313
0962-1067,36168200
0962-1067,36168199
0962-1067,36164265
0962-1067,36153703
0962-1067,36153702
0962-1067,36153701
0962-1067,36153700
0962-1067,36146911
0962-1067,36128944
0962-1067,36128943
0962-1067,36128938
0962-1067,36123311
0962-1067,36123309
0962-1067,36123307
0962-1067,36123303
0962-1067,36110034
0962-1067,36110029
0962-1067,36101935
0962-1067,36101491
0962-1067,36101490
0962-1067,36097436
0962-1067,36097417
0962-1067,36088570
0962-1067,36081333
0962-1067,36081322
0962-1067,36081318
0962-1067,36081313
0962-1067,36071659
0962-1067,36071646
0962-1067,36068712
0962-1067,36068710
0962-1067,36068706
0962-1067,36065140
0962-1067,36065139
0962-1067,36059140
0962-1067,36055976
0962-1067,36047291
0962-1067,36039039
0962-1067,36039033
0962-1067,36039032
0962-1067,36031773
0962-1067,36030397
0962-1067,36028954
0962-1067,36016506
0962-1067,36002981
0962-1067,36002978
0962-1067,35995762
0962-1067,35995761
0962-1067,35988041
0962-1067,35988040
0962-1067,35988036
0962-1067,35983638
0962-1067,35974684
0962-1067,35968776
0962-1067,35968774
0962-1067,35949178
0962-1067,35949177
0962-1067,35949166
0962-1067,35945903
0962-1067,35941809
0962-1067,35941807
0962-1067,35934867
0962-1067,35933614
0962-1067,35932156
0962-1067,35922959
0962-1067,35922958
0962-1067,35918887
0962-1067,35915585
0962-1067,35908208
0962-1067,35908207
0962-1067,35898120
0962-1067,35894167
0962-1067,35880258
0962-1067,35880251
0962-1067,35872635
0962-1067,35871286
0962-1067,35871285
0962-1067,35871282
0962-1067,35869414
0962-1067,35864732
0962-1067,35864725
0962-1067,35864724
0962-1067,35864722
0962-1067,35854651
0962-1067,35851974
0962-1067,35851972
0962-1067,35851727
0962-1067,35844084
0962-1067,35844060
0962-1067,35821631
0962-1067,35818338
0962-1067,35818330
0962-1067,35818318
0962-1067,35818317
0962-1067,35811391
0962-1067,35799407
0962-1067,35799405
0962-1067,35799380
0962-1067,35799376
0962-1067,35791265
0962-1067,35791260
0962-1067,35780335
0962-1067,35778870
0962-1067,35778867
0962-1067,35775418
0962-1067,35773960
0962-1067,35773957
0962-1067,35773956
0962-1067,35768938
0962-1067,35768933
0962-1067,35765175
0962-1067,35765173
0962-1067,35765172
0962-1067,35762917
0962-1067,35761758
0962-1067,35758338
0962-1067,35739640
0962-1067,35739639
0962-1067,35739638
0962-1067,35733326
0962-1067,35733323
0962-1067,35733321
0962-1067,35718889
0962-1067,35718886
0962-1067,35712789
0962-1067,35706419
0962-1067,35703679
0962-1067,35702001
0962-1067,35697972
0962-1067,35692079
0962-1067,35692077
0962-1067,35689372
0962-1067,35689371
0962-1067,35689368
0962-1067,35679129
0962-1067,35676778
0962-1067,35676776
0962-1067,35676775
0962-1067,35672942
0962-1067,35672936
0962-1067,35668634
0962-1067,35668626
0962-1067,35665973
0962-1067,35665552
0962-1067,35662292
0962-1067,35655377
0962-1067,35655376
0962-1067,35655375
0962-1067,35655374
0962-1067,35650678
0962-1067,35644037
0962-1067,35642091
0962-1067,35642084
0962-1067,35639976
0962-1067,35639958
0962-1067,35599343
0962-1067,35596277
0962-1067,35596276
0962-1067,35596267
0962-1067,35590440
0962-1067,35583605
0962-1067,35581712
0962-1067,35581711
0962-1067,35579183
0962-1067,35570380
0962-1067,35570376
0962-1067,35560853
0962-1067,35560844
0962-1067,35545822
0962-1067,35538627
0962-1067,35534992
0962-1067,35527356
0962-1067,35526092
0962-1067,35514083
0962-1067,35501970
0962-1067,35488381
0962-1067,35485973
0962-1067,35484835
0962-1067,35478466
0962-1067,35475307
0962-1067,35470506
0962-1067,35460132
0962-1067,35460127
0962-1067,35460126
0962-1067,35451137
0962-1067,35451093
0962-1067,35451073
0962-1067,35441389
0962-1067,35441382
0962-1067,35437838
0962-1067,35437821
0962-1067,35434874
0962-1067,35434871
0962-1067,35429079
0962-1067,35429057
0962-1067,35426197
0962-1067,35415864
0962-1067,35411654
0962-1067,35403322
0962-1067,35403320
0962-1067,35396796
0962-1067,35396757
0962-1067,35388557
0962-1067,35383409
0962-1067,35373401
0962-1067,35362192
0962-1067,35352432
0962-1067,35352417
0962-1067,35352416
0962-1067,35347773
0962-1067,35343020
0962-1067,35343019
0962-1067,35343004
0962-1067,35343003
0962-1067,35338540
0962-1067,35332605
0962-1067,35332600
0962-1067,35332593
0962-1067,35332592
0962-1067,35332590
0962-1067,35322497
0962-1067,35322493
0962-1067,35312126
0962-1067,35307879
0962-1067,35304786
0962-1067,35304785
0962-1067,35301775
0962-1067,35293058
0962-1067,35289018
0962-1067,35289011
0962-1067,35289008
0962-1067,35285563
0962-1067,35285557
0962-1067,35285125
0962-1067,35285111
0962-1067,35285109
0962-1067,35277902
0962-1067,35266217
0962-1067,35253297
0962-1067,35253296
0962-1067,35253295
0962-1067,35253291
0962-1067,35253290
0962-1067,35253288
0962-1067,35233863
0962-1067,35233846
0962-1067,35229381
0962-1067,35225374
0962-1067,35224809
0962-1067,35224808
0962-1067,35224806
0962-1067,35218084
0962-1067,35212078
0962-1067,35212075
0962-1067,35199411
0962-1067,35199398
0962-1067,35194883
0962-1067,35194870
0962-1067,35191111
0962-1067,35187755
0962-1067,35187740
0962-1067,35181955
0962-1067,35178849
0962-1067,35178794
0962-1067,35170142
0962-1067,35170118
0962-1067,35156748
0962-1067,35150026
0962-1067,35146817
0962-1067,35146815
0962-1067,35146814
0962-1067,35132737
0962-1067,35132707
0962-1067,35122351
0962-1067,35118759
0962-1067,35118746
0962-1067,35118740
0962-1067,35118738
0962-1067,35118732
0962-1067,35118718
0962-1067,35102628
0962-1067,35102617
0962-1067,35098610
0962-1067,35098602
0962-1067,35098598
0962-1067,35092116
0962-1067,35083808
0962-1067,35075716
0962-1067,35075705
0962-1067,35068011
0962-1067,35068001
0962-1067,35060252
0962-1067,35043496
0962-1067,35043488
0962-1067,35040523
0962-1067,35037326
0962-1067,35037324
0962-1067,35034404
0962-1067,35034393
0962-1067,35034383
0962-1067,35032085
0962-1067,35032069
0962-1067,35023248
0962-1067,35018678
0962-1067,35018676
0962-1067,35014094
0962-1067,34997656
0962-1067,34997641
0962-1067,34989056
0962-1067,34985170
0962-1067,34985169
0962-1067,34985166
0962-1067,34985161
0962-1067,34985158
0962-1067,34981592
0962-1067,34981582
0962-1067,34970816
0962-1067,34964175
0962-1067,34962327
0962-1067,34957629
0962-1067,34957612
0962-1067,34957611
0962-1067,34936157
0962-1067,34935230
0962-1067,34935221
0962-1067,34931389
0962-1067,34918419
0962-1067,34913534
0962-1067,34908206
0962-1067,34897879
0962-1067,34897871
0962-1067,34897869
0962-1067,34897863
0962-1067,34897853
0962-1067,34894019
0962-1067,34881480
0962-1067,34881476
0962-1067,34878198
0962-1067,34877719
0962-1067,34873769
0962-1067,34873761
0962-1067,34870345
0962-1067,34866266
0962-1067,34866264
0962-1067,34866262
0962-1067,34866261
0962-1067,34859523
0962-1067,34854158
0962-1067,34850483
0962-1067,34850477
0962-1067,34841614
0962-1067,34837292
0962-1067,34816522
0962-1067,34816519
0962-1067,34816510
0962-1067,34811836
0962-1067,34811825
0962-1067,34786789
0962-1067,34780093
0962-1067,34761466
0962-1067,34723411
0962-1067,34723410
0962-1067,34716612
0962-1067,34687111
0962-1067,34687100
0962-1067,34672036
0962-1067,34672033
0962-1067,34661329
0962-1067,34658097
0962-1067,34643008
0962-1067,34585456
0962-1067,34561926
0962-1067,34514659
0962-1067,34453385
0962-1067,34414619
0962-1067,34405476
0962-1067,34390046
0962-1067,34169580
0962-1067,34137100
0962-1067,33942940
0962-1067,33534939
0962-1067,33219569
0962-1067,33215774
0962-1067,32786157
0962-1067,32497369
1545-102X,37497767
1545-102X,37431567
1545-102X,37417386
1545-102X,37368482
1545-102X,37340547
1545-102X,37306292
1545-102X,37280784
1545-102X,37277935
1545-102X,37260082
1545-102X,37194417
1545-102X,37194344
1545-102X,37194163
1545-102X,37183979
1545-102X,37183386
1545-102X,37140131
1545-102X,37128953
1545-102X,37042488
1545-102X,37031350
1545-102X,37026170
1545-102X,37005350
1545-102X,36999687
1545-102X,36991541
1545-102X,36991524
1545-102X,36966455
1545-102X,36942832
1545-102X,36938828
1545-102X,36916411
1545-102X,36906914
1545-102X,36894522
1545-102X,36894521
1545-102X,36880519
1545-102X,36861843
1545-102X,36811445
1545-102X,36779563
1545-102X,36751881
1545-102X,36637053
1545-102X,36617530
1545-102X,36604994
1545-102X,36604948
1545-102X,36594587
1545-102X,36594474
1545-102X,36571237
1545-102X,36541042
1545-102X,36480175
1545-102X,36480153
1545-102X,36464805
1545-102X,36458629
1545-102X,36453565
1545-102X,36380457
1545-102X,36380456
1545-102X,36380454
1545-102X,36366791
1545-102X,36317824
1545-102X,36317808
1545-102X,36209358
1545-102X,36005289
1545-102X,35726187
1545-102X,35638707
0964-3397,37480701
0964-3397,37480700
0964-3397,37480699
0964-3397,37473708
0964-3397,37453231
0964-3397,37451087
0964-3397,37451086
0964-3397,37451085
0964-3397,37441933
0964-3397,37441816
0964-3397,37441815
0964-3397,37440188
0964-3397,37440187
0964-3397,37440186
0964-3397,37384978
0964-3397,37384977
0964-3397,37384976
0964-3397,37384975
0964-3397,37379679
0964-3397,37379678
0964-3397,37379677
0964-3397,37356276
0964-3397,37356275
0964-3397,37354696
0964-3397,37354695
0964-3397,37354694
0964-3397,37253283
0964-3397,37210225
0964-3397,37198081
0964-3397,37178615
0964-3397,37178587
0964-3397,37173232
0964-3397,37172467
0964-3397,37172466
0964-3397,37172465
0964-3397,37169630
0964-3397,37167839
0964-3397,37149489
0964-3397,37120363
0964-3397,37116436
0964-3397,37104948
0964-3397,37086603
0964-3397,37075662
0964-3397,37075661
0964-3397,37072281
0964-3397,37060812
0964-3397,37002008
0964-3397,37001447
0964-3397,36990033
0964-3397,36863955
0964-3397,36863954
0964-3397,36848704
0964-3397,36822874
0964-3397,36813610
0964-3397,36813609
0964-3397,36812765
0964-3397,36805167
0964-3397,36801154
0964-3397,36797196
0964-3397,36796162
0964-3397,36764903
0964-3397,36746679
0964-3397,36738535
0964-3397,36738534
0964-3397,36736219
0964-3397,36731266
0964-3397,36731265
0964-3397,36731264
0964-3397,36731263
0964-3397,36731262
0964-3397,36725482
0964-3397,36725481
0964-3397,36706500
0964-3397,36706499
0964-3397,36706498
0964-3397,36706497
0964-3397,36706496
0964-3397,36706495
0964-3397,36702673
0964-3397,36702032
0964-3397,36669436
0964-3397,36657250
0964-3397,36651655
0964-3397,36640528
0964-3397,36638686
0964-3397,36638685
0964-3397,36631302
0964-3397,36631301
0964-3397,36566142
0964-3397,36543721
0964-3397,36535871
0964-3397,36529586
0964-3397,36529585
0964-3397,36529584
0964-3397,36528463
0964-3397,36528462
0964-3397,36528461
0964-3397,36528460
0964-3397,36528459
0964-3397,36528458
0964-3397,36528457
0964-3397,36528456
0964-3397,36496317
0964-3397,36473743
0964-3397,36470701
0964-3397,36470700
0964-3397,36470699
0964-3397,36464607
0964-3397,36464606
0964-3397,36464605
0964-3397,36464604
0964-3397,36463012
0964-3397,36371393
0964-3397,36369190
0964-3397,36369189
0964-3397,36369188
0964-3397,36357234
0964-3397,36357233
0964-3397,36334970
0964-3397,36333188
0964-3397,36283894
0964-3397,36220764
0964-3397,36208975
0964-3397,36208974
0964-3397,36192314
0964-3397,36192313
0964-3397,36182625
0964-3397,36180318
0964-3397,36154789
0964-3397,36153186
0964-3397,36153185
0964-3397,36031517
0964-3397,36028412
0964-3397,35985909
0964-3397,35965149
0964-3397,35940955
0964-3397,35933251
0964-3397,35933250
0964-3397,35933249
0964-3397,35933248
0964-3397,35931597
0964-3397,35931596
0964-3397,35931595
0964-3397,35879132
0964-3397,35871963
0964-3397,35871962
0964-3397,35871961
0964-3397,35871960
0964-3397,35871959
0964-3397,35871958
0964-3397,35729040
1527-6546,37489597
1527-6546,37482951
1527-6546,37452720
1527-6546,37415313
1527-6546,37393606
1527-6546,37358023
1527-6546,37306190
1527-6546,37291734
1527-6546,37278376
1527-6546,37243377
1527-6546,37235487
1527-6546,37219491
1527-6546,37212367
1527-6546,37186497
1527-6546,37140134
1527-6546,37132071
1527-6546,37078786
1527-6546,36991497
1527-6546,36965172
1527-6546,36965016
1527-6546,36959705
1527-6546,36946418
1527-6546,36942847
1527-6546,36942840
1527-6546,36941765
1527-6546,36941749
1527-6546,36938840
1527-6546,36935475
1527-6546,36929538
1527-6546,36929318
1527-6546,36916452
1527-6546,36914612
1527-6546,36896916
1527-6546,36894518
1527-6546,36789881
1527-6546,36744607
1527-6546,36734070
1527-6546,36660906
1527-6546,36645416
1527-6546,36642921
1527-6546,36631719
1527-6546,36624606
1527-6546,36610054
1527-6546,36604794
1527-6546,36601971
1527-6546,36596703
1527-6546,36583656
1527-6546,36583655
1527-6546,36583512
1527-6546,36541193
1527-6546,36537349
1527-6546,36529995
1527-6546,36510252
1527-6546,36510097
1527-6546,36509939
1527-6546,36494839
1527-6546,36494758
1527-6546,36494753
1527-6546,36494752
1527-6546,36480216
1527-6546,36480159
1527-6546,36480158
1527-6546,36464814
1527-6546,36458604
1527-6546,36419400
1527-6546,36419399
1527-6546,36411519
1527-6546,36411501
1527-6546,36411494
1527-6546,36404594
1527-6546,36380451
1527-6546,36366792
1527-6546,36353793
1527-6546,36352540
1527-6546,36345776
1527-6546,36345735
1527-6546,36345730
1527-6546,36345125
1527-6546,36326148
1527-6546,36317787
1527-6546,36310396
1527-6546,36281970
1527-6546,36264005
1527-6546,36263509
1527-6546,36262085
1527-6546,36250603
1527-6546,36250599
1527-6546,36250590
1527-6546,36250585
1527-6546,36239008
1527-6546,36222308
1527-6546,36218245
1527-6546,36218219
1527-6546,36218196
1527-6546,36218182
1527-6546,36209360
1527-6546,36209359
1527-6546,36199240
1527-6546,36183148
1527-6546,36173259
1527-6546,36165577
1527-6546,36161474
1527-6546,36138561
1527-6546,36121127
1527-6546,36102356
1527-6546,36065145
1527-6546,36056586
1527-6546,35986702
1527-6546,35946931
1527-6546,35946929
1527-6546,35920587
1527-6546,35844158
1527-6546,35821605
1527-6546,35819267
1527-6546,35790072
1527-6546,35769007
1527-6546,35752928
1527-6546,35727078
1527-6546,35674370
1527-6546,35650636
1527-6546,35642072
1527-6546,35607898
1527-6546,35568964
1527-6546,35545884
1527-6546,35506671
1527-6546,35388958
1527-6546,35388951
0260-6917,37515957
0260-6917,37515956
0260-6917,37506623
0260-6917,37506622
0260-6917,37481921
