ISSN,PMID,DOI
0020-7489,36940648,10.1016/j.ijnurstu.2023.104477
0020-7489,36935310,10.1016/j.ijnurstu.2023.104480
0020-7489,36935309,10.1016/j.ijnurstu.2023.104478
0020-7489,36934659,10.1016/j.ijnurstu.2023.104473
0020-7489,36931177,10.1016/j.ijnurstu.2023.104475
0020-7489,36913911,10.1016/j.ijnurstu.2023.104474
0020-7489,36898269,10.1016/j.ijnurstu.2023.104472
0020-7489,36871541,10.1016/j.ijnurstu.2023.104466
0020-7489,36871540,10.1016/j.ijnurstu.2023.104471
0020-7489,36857979,10.1016/j.ijnurstu.2023.104465
0020-7489,36841192,10.1016/j.ijnurstu.2023.104454
0020-7489,36827745,10.1016/j.ijnurstu.2023.104453
0020-7489,36821953,10.1016/j.ijnurstu.2023.104456
0020-7489,36821952,10.1016/j.ijnurstu.2023.104452
0020-7489,36821951,10.1016/j.ijnurstu.2022.104413
0020-7489,36821950,10.1016/j.ijnurstu.2023.104455
0020-7489,36812849,10.1016/j.ijnurstu.2023.104451
0020-7489,36805581,10.1016/j.ijnurstu.2023.104449
0020-7489,36796118,10.1016/j.ijnurstu.2023.104447
0020-7489,36796117,10.1016/j.ijnurstu.2023.104450
0020-7489,36764033,10.1016/j.ijnurstu.2023.104437
0020-7489,36746012,10.1016/j.ijnurstu.2023.104446
0020-7489,36746011,10.1016/j.ijnurstu.2023.104448
0020-7489,36731308,10.1016/j.ijnurstu.2023.104436
0020-7489,36682322,10.1016/j.ijnurstu.2022.104428
0020-7489,36640700,10.1016/j.ijnurstu.2022.104435
0020-7489,36638590,10.1016/j.ijnurstu.2022.104430
0020-7489,36630873,10.1016/j.ijnurstu.2022.104434
0020-7489,36630872,10.1016/j.ijnurstu.2022.104431
0020-7489,36623948,10.1016/j.ijnurstu.2022.104433
0020-7489,36584446,10.1016/j.ijnurstu.2022.104426
0020-7489,36577261,10.1016/j.ijnurstu.2022.104410
0020-7489,36577260,10.1016/j.ijnurstu.2022.104429
0020-7489,36566588,10.1016/j.ijnurstu.2022.104374
0020-7489,36549146,10.1016/j.ijnurstu.2022.104414
0020-7489,36528912,10.1016/j.ijnurstu.2022.104412
0020-7489,36527860,10.1016/j.ijnurstu.2022.104409
0020-7489,36527859,10.1016/j.ijnurstu.2022.104408
0020-7489,36527858,10.1016/j.ijnurstu.2022.104415
0020-7489,36495596,10.1016/j.ijnurstu.2022.104411
0020-7489,36481597,10.1016/j.ijnurstu.2022.104383
0020-7489,36481596,10.1016/j.ijnurstu.2022.104395
0020-7489,36481595,10.1016/j.ijnurstu.2022.104407
0020-7489,36473304,10.1016/j.ijnurstu.2022.104406
0020-7489,36462385,10.1016/j.ijnurstu.2022.104389
0020-7489,36446246,10.1016/j.ijnurstu.2022.104393
0020-7489,36446245,10.1016/j.ijnurstu.2022.104394
0020-7489,36442356,10.1016/j.ijnurstu.2022.104396
0020-7489,36442355,10.1016/j.ijnurstu.2022.104390
0020-7489,36442321,10.1016/j.ijnurstu.2022.104391
0020-7489,36435003,10.1016/j.ijnurstu.2022.104387
0020-7489,36434931,10.1016/j.ijnurstu.2022.104392
0020-7489,36427481,10.1016/j.ijnurstu.2022.104386
0020-7489,36427480,10.1016/j.ijnurstu.2022.104388
0020-7489,36423423,10.1016/j.ijnurstu.2022.104385
0020-7489,36402057,10.1016/j.ijnurstu.2022.104382
0020-7489,36402056,10.1016/j.ijnurstu.2022.104381
0020-7489,36399944,10.1016/j.ijnurstu.2022.104364
0020-7489,36379104,10.1016/j.ijnurstu.2022.104384
0020-7489,36375309,10.1016/j.ijnurstu.2022.104380
0020-7489,36356548,10.1016/j.ijnurstu.2022.104378
0020-7489,36356547,10.1016/j.ijnurstu.2022.104376
0020-7489,36356546,10.1016/j.ijnurstu.2022.104379
0020-7489,36327682,10.1016/j.ijnurstu.2022.104377
0020-7489,36327681,10.1016/j.ijnurstu.2022.104365
0020-7489,36327680,10.1016/j.ijnurstu.2022.104375
0020-7489,36306572,10.1016/j.ijnurstu.2022.104363
0020-7489,36306571,10.1016/j.ijnurstu.2022.104366
0020-7489,36209575,10.1016/j.ijnurstu.2022.104361
0020-7489,36208541,10.1016/j.ijnurstu.2022.104340
0020-7489,36206617,10.1016/j.ijnurstu.2022.104362
0020-7489,36162190,10.1016/j.ijnurstu.2022.104360
0020-7489,36152467,10.1016/j.ijnurstu.2022.104358
0020-7489,36152466,10.1016/j.ijnurstu.2022.104359
0020-7489,36123172,10.1016/j.ijnurstu.2022.104344
0020-7489,36122491,10.1016/j.ijnurstu.2022.104342
0020-7489,36116327,10.1016/j.ijnurstu.2022.104350
0020-7489,36095903,10.1016/j.ijnurstu.2022.104349
0020-7489,36088732,10.1016/j.ijnurstu.2022.104339
0020-7489,36088731,10.1016/j.ijnurstu.2022.104348
0020-7489,36084529,10.1016/j.ijnurstu.2022.104341
0020-7489,36031437,10.1016/j.ijnurstu.2022.104345
0020-7489,36029550,10.1016/j.ijnurstu.2022.104343
0020-7489,35986960,10.1016/j.ijnurstu.2022.104329
0020-7489,35985180,10.1016/j.ijnurstu.2022.104330
0020-7489,35981913,10.1016/j.ijnurstu.2022.104346
0020-7489,35981449,10.1016/j.ijnurstu.2022.104331
0020-7489,35952535,10.1016/j.ijnurstu.2022.104328
0020-7489,35944288,10.1016/j.ijnurstu.2022.104327
0020-7489,35932711,10.1016/j.ijnurstu.2022.104326
1445-8330,37522422,10.1111/inm.13197
1445-8330,37477147,10.1111/inm.13192
1445-8330,37475208,10.1111/inm.13196
1445-8330,37464582,10.1111/inm.13195
1445-8330,37458217,10.1111/inm.13194
1445-8330,37449535,10.1111/inm.13193
1445-8330,37417533,10.1111/inm.13191
1445-8330,37409788,10.1111/inm.13190
1445-8330,37409776,10.1111/inm.13189
1445-8330,37403842,10.1111/inm.13186
1445-8330,37381096,10.1111/inm.13188
1445-8330,37341210,10.1111/inm.13181
1445-8330,37332262,10.1111/inm.13187
1445-8330,37332254,10.1111/inm.13185
1445-8330,37314060,10.1111/inm.13183
1445-8330,37303264,10.1111/inm.13184
1445-8330,37296514,10.1111/inm.13182
1445-8330,37278366,10.1111/inm.13180
1445-8330,37249199,10.1111/inm.13179
1445-8330,37249194,10.1111/inm.13178
1445-8330,37243419,10.1111/inm.13175
1445-8330,37243407,10.1111/inm.13173
1445-8330,37243405,10.1111/inm.13176
1445-8330,37232042,10.1111/inm.13177
1445-8330,37231985,10.1111/inm.13174
1445-8330,37226413,10.1111/inm.13164
1445-8330,37226408,10.1111/inm.13171
1445-8330,37226402,10.1111/inm.13172
1445-8330,37170848,10.1111/inm.13163
1445-8330,37150932,10.1111/inm.13162
1445-8330,37150928,10.1111/inm.13161
1445-8330,37138469,10.1111/inm.13159
1445-8330,37138450,10.1111/inm.13160
1445-8330,37114682,10.1111/inm.13157
1445-8330,37114681,10.1111/inm.13156
1445-8330,37098744,10.1111/inm.13158
1445-8330,37070663,10.1111/inm.13154
1445-8330,37066736,10.1111/inm.13155
1445-8330,37036136,10.1111/inm.13152
1445-8330,37025073,10.1111/inm.13148
1445-8330,37021349,10.1111/inm.13150
1445-8330,37021338,10.1111/inm.13149
1445-8330,37021335,10.1111/inm.13151
1445-8330,36994904,10.1111/inm.13147
1445-8330,36992654,10.1111/inm.13146
1445-8330,36978242,10.1111/inm.13144
1445-8330,36978207,10.1111/inm.13145
1445-8330,36978177,10.1111/inm.13141
1445-8330,36974368,10.1111/inm.13143
1445-8330,36971150,10.1111/inm.13142
1445-8330,36939066,10.1111/inm.13138
1445-8330,36929104,10.1111/inm.13140
1445-8330,36912457,10.1111/inm.13139
1445-8330,36882964,10.1111/inm.13137
1445-8330,36880520,10.1111/inm.13136
1445-8330,36864583,10.1111/inm.13131
1445-8330,36861759,10.1111/inm.13134
1445-8330,36861747,10.1111/inm.13133
1445-8330,36854950,10.1111/inm.13132
1445-8330,36825444,10.1111/inm.13135
1445-8330,36808863,10.1111/inm.13126
1445-8330,36807430,10.1111/inm.13130
1445-8330,36788653,10.1111/inm.13123
1445-8330,36785911,10.1111/inm.13129
1445-8330,36785907,10.1111/inm.13128
1445-8330,36779424,10.1111/inm.13127
1445-8330,36744685,10.1111/inm.13125
1445-8330,36744684,10.1111/inm.13114
1445-8330,36727283,10.1111/inm.13124
1445-8330,36718048,10.1111/inm.13122
1445-8330,36715172,10.1111/inm.13121
1445-8330,36715170,10.1111/inm.13112
1445-8330,36705234,10.1111/inm.13120
1445-8330,36705232,10.1111/inm.13115
1445-8330,36695412,10.1111/inm.13119
1445-8330,36650692,10.1111/inm.13118
1445-8330,36645077,10.1111/inm.13116
1445-8330,36645058,10.1111/inm.13117
1445-8330,36635921,10.1111/inm.13107
1445-8330,36628477,10.1111/inm.13113
1445-8330,36621528,10.1111/inm.13111
1445-8330,36594459,10.1111/inm.13109
1445-8330,36594457,10.1111/inm.13105
1445-8330,36594443,10.1111/inm.13110
1445-8330,36582129,10.1111/inm.13099
1445-8330,36575801,10.1111/inm.13101
1445-8330,36567487,10.1111/inm.13104
1445-8330,36562518,10.1111/inm.13108
1445-8330,36562517,10.1111/inm.13106
1445-8330,36534491,10.1111/inm.13103
1445-8330,36533717,10.1111/inm.13100
1445-8330,36524302,10.1111/inm.13102
1445-8330,36478635,10.1111/inm.13098
1445-8330,36461629,10.1111/inm.13097
1445-8330,36408959,10.1111/inm.13095
1445-8330,36408951,10.1111/inm.13094
1445-8330,36404418,10.1111/inm.13096
1445-8330,36385730,10.1111/inm.13093
1445-8330,36379908,10.1111/inm.13072
1445-8330,36373845,10.1111/inm.13090
1445-8330,36369666,10.1111/inm.13091
1445-8330,36369663,10.1111/inm.13089
1445-8330,36345037,10.1111/inm.13092
1445-8330,36344456,10.1111/inm.13088
1445-8330,36344441,10.1111/inm.13087
1445-8330,36330581,10.1111/inm.13086
1445-8330,36330563,10.1111/inm.13083
1445-8330,36317375,10.1111/inm.13085
1445-8330,36300668,10.1111/inm.13081
1445-8330,36300644,10.1111/inm.13082
1445-8330,36285570,10.1111/inm.13084
1445-8330,36285548,10.1111/inm.13080
1445-8330,36226745,10.1111/inm.13078
1445-8330,36199271,10.1111/inm.13074
1445-8330,36184875,10.1111/inm.13079
1445-8330,36184847,10.1111/inm.13076
1445-8330,36184845,10.1111/inm.13075
1445-8330,36184843,10.1111/inm.13077
1445-8330,36176263,10.1111/inm.13069
1445-8330,36176247,10.1111/inm.13073
1445-8330,36117317,10.1111/inm.13066
1445-8330,36109880,10.1111/inm.13071
1445-8330,36104975,10.1111/inm.13067
1445-8330,36097408,10.1111/inm.13063
1445-8330,36097405,10.1111/inm.13070
1445-8330,36082875,10.1111/inm.13068
1445-8330,36082841,10.1111/inm.13065
1445-8330,36070221,10.1111/inm.13064
1445-8330,36070004,10.1111/inm.13060
1445-8330,36052642,10.1111/inm.13062
1445-8330,36029474,10.1111/inm.13056
1445-8330,36008915,10.1111/inm.13057
1445-8330,36008889,10.1111/inm.13059
1445-8330,35996859,10.1111/inm.13055
1445-8330,35989567,10.1111/inm.13053
1445-8330,35986578,10.1111/inm.13054
1445-8330,35976725,10.1111/inm.13042
1445-8330,35976724,10.1111/inm.13047
1445-8330,35974659,10.1111/inm.13045
1445-8330,35957615,10.1111/inm.13052
1445-8330,35938946,10.1111/inm.13048
1445-8330,35938942,10.1111/inm.13046
1445-8330,35909095,10.1111/inm.13043
1445-8330,35872607,10.1111/inm.13044
1445-8330,35841342,10.1111/inm.13041
1445-8330,35815952,10.1111/inm.13040
1445-8330,35789190,10.1111/inm.13039
1445-8330,35779266,10.1111/inm.13038
1445-8330,35718951,10.1111/inm.13034
1445-8330,35695678,10.1111/inm.13029
1445-8330,35637556,10.1111/inm.13027
1445-8330,35598319,10.1111/inm.13024
0966-0429,36468368,10.1111/jonm.13450
0966-0429,36468300,10.1111/jonm.13734
0966-0429,36336904,10.1111/jonm.13879
0966-0429,36336824,10.1111/jonm.13882
0966-0429,36329678,10.1111/jonm.13894
0966-0429,36329647,10.1111/jonm.13888
0966-0429,36326612,10.1111/jonm.13895
0966-0429,36326591,10.1111/jonm.13896
0966-0429,36326491,10.1111/jonm.13893
0966-0429,36326282,10.1111/jonm.13885
0966-0429,36326215,10.1111/jonm.13891
0966-0429,36326205,10.1111/jonm.13887
0966-0429,36326092,10.1111/jonm.13884
0966-0429,36326077,10.1111/jonm.13881
0966-0429,36326061,10.1111/jonm.13883
0966-0429,36325974,10.1111/jonm.13890
0966-0429,36325914,10.1111/jonm.13880
0966-0429,36325798,10.1111/jonm.13889
0966-0429,36325759,10.1111/jonm.13892
0966-0429,36325680,10.1111/jonm.13886
0966-0429,36281794,10.1111/jonm.13878
0966-0429,36262030,10.1111/jonm.13877
0966-0429,36257924,10.1111/jonm.13874
0966-0429,36239549,10.1111/jonm.13876
0966-0429,36223165,10.1111/jonm.13872
0966-0429,36219540,10.1111/jonm.13867
0966-0429,36219534,10.1111/jonm.13869
0966-0429,36219523,10.1111/jonm.13868
0966-0429,36219512,10.1111/jonm.13870
0966-0429,36217683,10.1111/jonm.13866
0966-0429,36216773,10.1111/jonm.13851
0966-0429,36208194,10.1111/jonm.13859
0966-0429,36208138,10.1111/jonm.13865
0966-0429,36208135,10.1111/jonm.13864
0966-0429,36206481,10.1111/jonm.13860
0966-0429,36205923,10.1111/jonm.13862
0966-0429,36205698,10.1111/jonm.13861
0966-0429,36205633,10.1111/jonm.13863
0966-0429,36205051,10.1111/jonm.13852
0966-0429,36201227,10.1111/jonm.13858
0966-0429,36200560,10.1111/jonm.13856
0966-0429,36198011,10.1111/jonm.13855
0966-0429,36197805,10.1111/jonm.13857
0966-0429,36197748,10.1111/jonm.13853
0966-0429,36196679,10.1111/jonm.13847
0966-0429,36194472,10.1111/jonm.13843
0966-0429,36194470,10.1111/jonm.13844
0966-0429,36194439,10.1111/jonm.13845
0966-0429,36194367,10.1111/jonm.13846
0966-0429,36194186,10.1111/jonm.13828
0966-0429,36193552,10.1111/jonm.13833
0966-0429,36193037,10.1111/jonm.13834
0966-0429,36193022,10.1111/jonm.13837
0966-0429,36192833,10.1111/jonm.13836
0966-0429,36192820,10.1111/jonm.13841
0966-0429,36192809,10.1111/jonm.13838
0966-0429,36191302,10.1111/jonm.13832
0966-0429,36190738,10.1111/jonm.13827
0966-0429,36190727,10.1111/jonm.13830
0966-0429,36190519,10.1111/jonm.13826
0966-0429,36190507,10.1111/jonm.13831
0966-0429,36190480,10.1111/jonm.13829
0966-0429,36179722,10.1111/jonm.13825
0966-0429,36177709,10.1111/jonm.13823
0966-0429,36125938,10.1111/jonm.13807
0966-0429,36124426,10.1111/jonm.13802
0966-0429,36071554,10.1111/jonm.13798
0966-0429,36063427,10.1111/jonm.13790
0966-0429,36057432,10.1111/jonm.13787
0966-0429,35970487,10.1111/jonm.13769
0966-0429,35970485,10.1111/jonm.13770
0966-0429,35946085,10.1111/jonm.13751
0966-0429,35941786,10.1111/jonm.13760
0966-0429,35899457,10.1111/jonm.13749
0966-0429,35862237,10.1111/jonm.13743
0966-0429,35816560,10.1111/jonm.13736
0966-0429,35484921,10.1111/jonm.13653
0966-0429,35474366,10.1111/jonm.13646
0966-0429,35411629,10.1111/jonm.13630
0966-0429,35213935,10.1111/jonm.13566
0966-0429,35066952,10.1111/jonm.13549
0966-0429,34806243,10.1111/jonm.13521
0966-0429,34661943,10.1111/jonm.13495
0966-0429,34529301,10.1111/jonm.13472
0966-0429,34350650,10.1111/jonm.13439
0966-0429,34350638,10.1111/jonm.13441
0966-0429,34272911,10.1111/jonm.13425
0962-1067,37493000,10.1111/jocn.16834
0962-1067,37492975,10.1111/jocn.16838
0962-1067,37491890,10.1111/jocn.16833
0962-1067,37489643,10.1111/jocn.16835
0962-1067,37485967,10.1111/jocn.16837
0962-1067,37485751,10.1111/jocn.16823
0962-1067,37485726,10.1111/jocn.16839
0962-1067,37477168,10.1111/jocn.16836
0962-1067,37477159,10.1111/jocn.16827
0962-1067,37475608,10.1111/jocn.16832
0962-1067,37470113,10.1111/jocn.16829
0962-1067,37469207,10.1111/jocn.16830
0962-1067,37466105,10.1111/jocn.16828
0962-1067,37462350,10.1111/jocn.16825
0962-1067,37462332,10.1111/jocn.16783
0962-1067,37462296,10.1111/jocn.16824
0962-1067,37458214,10.1111/jocn.16796
0962-1067,37458191,10.1111/jocn.16826
0962-1067,37458172,10.1111/jocn.16821
0962-1067,37439324,10.1111/jocn.16782
0962-1067,37421611,10.1111/jocn.16813
0962-1067,37409420,10.1111/jocn.16777
0962-1067,37404006,10.1111/jocn.16822
0962-1067,37403644,10.1111/jocn.16820
0962-1067,37401765,10.1111/jocn.16819
0962-1067,37395161,10.1111/jocn.16765
0962-1067,37395139,10.1111/jocn.16815
0962-1067,37382085,10.1111/jocn.16812
0962-1067,37377108,10.1111/jocn.16811
0962-1067,37370254,10.1111/jocn.16817
0962-1067,37370251,10.1111/jocn.16816
0962-1067,37365933,10.1111/jocn.16814
0962-1067,37365921,10.1111/jocn.16818
0962-1067,37365897,10.1111/jocn.16810
0962-1067,37357439,10.1111/jocn.16698
0962-1067,37353967,10.1111/jocn.16798
0962-1067,37353965,10.1111/jocn.16802
0962-1067,37353963,10.1111/jocn.16806
0962-1067,37353949,10.1111/jocn.16807
0962-1067,37345863,10.1111/jocn.16803
0962-1067,37345621,10.1111/jocn.16808
0962-1067,37341067,10.1111/jocn.16801
0962-1067,37340914,10.1111/jocn.16763
0962-1067,37340626,10.1111/jocn.16804
0962-1067,37340624,10.1111/jocn.16786
0962-1067,37340615,10.1111/jocn.16809
0962-1067,37337624,10.1111/jocn.16805
0962-1067,37335081,10.1111/jocn.16800
0962-1067,37323097,10.1111/jocn.16773
0962-1067,37317613,10.1111/jocn.16799
0962-1067,37314051,10.1111/jocn.16789
0962-1067,37309067,10.1111/jocn.16794
0962-1067,37309059,10.1111/jocn.16792
0962-1067,37303290,10.1111/jocn.16797
0962-1067,37303262,10.1111/jocn.16784
0962-1067,37303250,10.1111/jocn.16795
0962-1067,37303229,10.1111/jocn.16791
0962-1067,37300363,10.1111/jocn.16787
0962-1067,37300340,10.1111/jocn.16788
0962-1067,37300246,10.1111/jocn.16790
0962-1067,37291795,10.1111/jocn.16793
0962-1067,37287127,10.1111/jocn.16768
0962-1067,37283206,10.1111/jocn.16775
0962-1067,37283198,10.1111/jocn.16778
0962-1067,37283193,10.1111/jocn.16781
0962-1067,37282326,10.1111/jocn.16682
0962-1067,37277982,10.1111/jocn.16785
0962-1067,37277914,10.1111/jocn.16779
0962-1067,37272285,10.1111/jocn.16780
0962-1067,37272211,10.1111/jocn.16767
0962-1067,37272209,10.1111/jocn.16776
0962-1067,37269058,10.1111/jocn.16760
0962-1067,37264682,10.1111/jocn.16772
0962-1067,37264503,10.1111/jocn.16764
0962-1067,37246840,10.1111/jocn.16732
0962-1067,37245069,10.1111/jocn.16769
0962-1067,37245068,10.1111/jocn.16774
0962-1067,37245067,10.1111/jocn.16770
0962-1067,37243448,10.1111/jocn.16766
0962-1067,37243430,10.1111/jocn.16771
0962-1067,37222026,10.1111/jocn.16739
0962-1067,37221928,10.1111/jocn.16753
0962-1067,37219354,10.1111/jocn.16719
0962-1067,37219019,10.1111/jocn.16761
0962-1067,37212652,10.1111/jocn.16742
0962-1067,37210679,10.1111/jocn.16757
0962-1067,37204006,10.1111/jocn.16759
0962-1067,37202866,10.1111/jocn.16756
0962-1067,37194403,10.1111/jocn.16762
0962-1067,37194138,10.1111/jocn.16708
0962-1067,37190669,10.1111/jocn.16754
0962-1067,37186422,10.1111/jocn.16731
0962-1067,37186006,10.1111/jocn.16725
0962-1067,37179528,10.1111/jocn.16744
0962-1067,37173828,10.1111/jocn.16751
0962-1067,37170706,10.1111/jocn.16758
0962-1067,37166364,10.1111/jocn.16746
0962-1067,37166281,10.1111/jocn.16703
0962-1067,37161602,10.1111/jocn.16749
0962-1067,37161555,10.1111/jocn.16752
0962-1067,37157136,10.1111/jocn.16750
0962-1067,37154497,10.1111/jocn.16743
0962-1067,37149845,10.1111/jocn.16741
0962-1067,37149743,10.1111/jocn.16755
0962-1067,37149742,10.1111/jocn.16747
0962-1067,37149737,10.1111/jocn.16724
0962-1067,37149735,10.1111/jocn.16748
0962-1067,37140186,10.1111/jocn.16733
0962-1067,37132445,10.1111/jocn.16738
0962-1067,37132115,10.1111/jocn.16735
0962-1067,37127929,10.1111/jocn.16736
0962-1067,37118865,10.1111/jocn.16729
0962-1067,37118863,10.1111/jocn.16745
0962-1067,37097007,10.1111/jocn.16740
0962-1067,37095612,10.1111/jocn.16737
0962-1067,37095609,10.1111/jocn.16705
0962-1067,37087695,10.1111/jocn.16734
0962-1067,37083151,10.1111/jocn.16134
0962-1067,37082879,10.1111/jocn.16730
0962-1067,37082871,10.1111/jocn.16728
0962-1067,37082837,10.1111/jocn.16721
0962-1067,37078453,10.1111/jocn.16701
0962-1067,37078099,10.1111/jocn.16727
0962-1067,37073684,10.1111/jocn.16722
0962-1067,37073414,10.1111/jocn.16718
0962-1067,37073113,10.1111/jocn.16709
0962-1067,37067394,10.1111/jocn.16720
0962-1067,37067375,10.1111/jocn.16723
0962-1067,37062028,10.1111/jocn.16726
0962-1067,37062011,10.1111/jocn.16714
0962-1067,37060200,10.1111/jocn.16707
0962-1067,37041700,10.1111/jocn.16712
0962-1067,37038693,10.1111/jocn.16717
0962-1067,37035861,10.1111/jocn.16716
0962-1067,37032649,10.1111/jocn.16699
0962-1067,37032642,10.1111/jocn.16711
0962-1067,37029475,10.1111/jocn.16715
0962-1067,37024426,10.1111/jocn.16710
0962-1067,37016501,10.1111/jocn.16713
0962-1067,37004198,10.1111/jocn.16706
0962-1067,36994545,10.1111/jocn.16697
0962-1067,36975841,10.1111/jocn.16704
0962-1067,36971479,10.1111/jocn.16702
0962-1067,36970881,10.1111/jocn.16671
0962-1067,36967562,10.1111/jocn.16696
0962-1067,36967549,10.1111/jocn.16693
0962-1067,36949278,10.1111/jocn.16673
0962-1067,36946424,10.1111/jocn.16666
0962-1067,36945137,10.1111/jocn.16695
0962-1067,36945129,10.1111/jocn.16694
0962-1067,36945127,10.1111/jocn.16692
0962-1067,36945074,10.1111/jocn.16700
0962-1067,36932419,10.1111/jocn.16687
0962-1067,36932041,10.1111/jocn.16689
0962-1067,36929168,10.1111/jocn.16669
0962-1067,36924125,10.1111/jocn.16690
0962-1067,36924051,10.1111/jocn.16685
0962-1067,36922725,10.1111/jocn.16683
0962-1067,36922724,10.1111/jocn.16684
0962-1067,36919674,10.1111/jocn.16688
0962-1067,36916107,10.1111/jocn.16691
0962-1067,36915950,10.1111/jocn.16686
0962-1067,36915223,10.1111/jocn.16679
0962-1067,36912707,10.1111/jocn.16667
0962-1067,36899476,10.1111/jocn.16680
0962-1067,36895018,10.1111/jocn.16638
0962-1067,36894868,10.1111/jocn.16681
0962-1067,36894524,10.1111/jocn.16675
0962-1067,36894523,10.1111/jocn.16678
0962-1067,36880273,10.1111/jocn.16674
0962-1067,36880224,10.1111/jocn.16672
0962-1067,36880219,10.1111/jocn.16676
0962-1067,36880216,10.1111/jocn.16677
0962-1067,36876455,10.1111/jocn.16650
0962-1067,36871173,10.1111/jocn.16647
0962-1067,36869620,10.1111/jocn.16668
0962-1067,36869616,10.1111/jocn.16670
0962-1067,36864610,10.1111/jocn.16646
0962-1067,36855220,10.1111/jocn.16664
0962-1067,36850042,10.1111/jocn.16665
0962-1067,36841963,10.1111/jocn.16661
0962-1067,36841961,10.1111/jocn.16657
0962-1067,36841960,10.1111/jocn.16655
0962-1067,36823714,10.1111/jocn.16662
0962-1067,36823713,10.1111/jocn.16656
0962-1067,36823709,10.1111/jocn.16658
0962-1067,36823696,10.1111/jocn.16642
0962-1067,36823692,10.1111/jocn.16660
0962-1067,36810923,10.1111/jocn.16663
0962-1067,36810814,10.1111/jocn.16659
0962-1067,36808668,10.1111/jocn.16611
0962-1067,36808667,10.1111/jocn.16643
0962-1067,36807590,10.1111/jocn.16653
0962-1067,36802111,10.1111/jocn.16648
0962-1067,36802108,10.1111/jocn.16652
0962-1067,36802081,10.1111/jocn.16641
0962-1067,36797214,10.1111/jocn.16651
0962-1067,36792068,10.1111/jocn.16654
0962-1067,36788640,10.1111/jocn.16644
0962-1067,36775886,10.1111/jocn.16649
0962-1067,36774543,10.1111/jocn.16614
0962-1067,36760012,10.1111/jocn.16639
0962-1067,36751030,10.1111/jocn.16645
0962-1067,36746776,10.1111/jocn.16049
0962-1067,36740779,10.1111/jocn.16640
0962-1067,36740770,10.1111/jocn.16633
0962-1067,36740763,10.1111/jocn.16631
0962-1067,36737840,10.1111/jocn.16632
0962-1067,36734355,10.1111/jocn.16480
0962-1067,36732059,10.1111/jocn.16636
0962-1067,36724765,10.1111/jocn.16619
0962-1067,36717978,10.1111/jocn.16630
0962-1067,36717977,10.1111/jocn.16623
0962-1067,36710398,10.1111/jocn.16635
0962-1067,36710394,10.1111/jocn.16637
0962-1067,36710385,10.1111/jocn.16625
0962-1067,36710379,10.1111/jocn.16629
0962-1067,36707923,10.1111/jocn.16628
0962-1067,36707921,10.1111/jocn.16620
0962-1067,36703266,10.1111/jocn.16634
0962-1067,36691328,10.1111/jocn.16604
0962-1067,36681869,10.1111/jocn.16617
0962-1067,36680417,10.1111/jocn.16618
