Journal Name;JCR Abbreviation;ISSN;eISSN;Category;Total Citations;2021 JIF;JIF Quartile;2021 JCI;% of OA Gold;Instruction to Author;AI/ChatGPT (Searched on 10-11 May 2023);
Nurse Education in Practice;NURSE EDUC PRACT;1471-5953;1873-5223;NURSING - SCIE;4,340;3.430;Q1;1.40;7.41%;https://www.elsevier.com/journals/nurse-education-in-practice/1471-5953/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
INTERNATIONAL NURSING REVIEW;INT NURS REV;0020-8132;1466-7657;NURSING - SCIE;2,733;3.384;Q1;1.70;7.23%;https://onlinelibrary.wiley.com/page/journal/14667657/homepage/forauthors.html;No;
Journal of Tissue Viability;J TISSUE VIABILITY;0965-206X;1876-4746;NURSING - SCIE;1,114;3.374;Q1;1.29;11.67%;https://www.elsevier.com/journals/journal-of-tissue-viability/0965-206X/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Women and Birth;WOMEN BIRTH;1871-5192;1878-1799;NURSING - SCIE;3,265;3.349;Q1;1.40;8.31%;https://www.elsevier.com/journals/women-and-birth/1871-5192/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
NURSING ETHICS;NURS ETHICS;0969-7330;1477-0989;NURSING - SCIE;4,124;3.344;Q1;1.42;14.48%;https://journals.sagepub.com/author-instructions/NEJ;No;
NURSING OUTLOOK;NURS OUTLOOK;0029-6554;1528-3968;NURSING - SCIE;2,998;3.315;Q1;1.70;6.58%;https://www.elsevier.com/journals/nursing-outlook/0029-6554/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Australian Critical Care;AUST CRIT CARE;1036-7314;1878-1721;NURSING - SCIE;1,489;3.265;Q1;1.07;7.21%;https://www.elsevier.com/journals/australian-critical-care/1036-7314/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
BMC NURSING;BMC NURS;1472-6955;1472-6955;NURSING - SCIE;2,316;3.189;Q1;1.51;99.55%;https://bmcnurs.biomedcentral.com/submission-guidelines/preparing-your-manuscript;No;
HEART & LUNG;HEART LUNG;0147-9563;1527-3288;NURSING - SCIE;3,521;3.149;Q1;0.76;5.60%;https://www.elsevier.com/journals/heart-and-lung/0147-9563/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
BIRTH-ISSUES IN PERINATAL CARE;BIRTH-ISS PERINAT C;0730-7659;1523-536X;NURSING - SCIE;2,998;3.081;Q1;1.21;11.86%;https://onlinelibrary.wiley.com/page/journal/1523536x/homepage/forauthors.html;No;
JOURNAL OF ADVANCED NURSING;J ADV NURS;0309-2402;1365-2648;NURSING - SCIE;24,086;3.057;Q1;1.32;13.54%;https://onlinelibrary.wiley.com/page/journal/13652648/homepage/forauthors.html;No;
Nursing in Critical Care;NURS CRIT CARE;1362-1017;1478-5153;NURSING - SCIE;1,521;2.897;Q1;1.52;10.92%;https://onlinelibrary.wiley.com/page/journal/14785153/homepage/forauthors.html;No;
JOURNAL OF MIDWIFERY & WOMENS HEALTH;J MIDWIFERY WOM HEAL;1526-9523;1542-2011;NURSING - SCIE;2,598;2.891;Q1;1.02;4.69%;https://onlinelibrary.wiley.com/page/journal/15422011/homepage/forauthors.html;No;
Clinical Simulation in Nursing;CLIN SIMUL NURS;1876-1399;1876-1402;NURSING - SCIE;2,611;2.856;Q1;1.41;5.21%;https://www.elsevier.com/journals/clinical-simulation-in-nursing/1876-1399/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Nurse Educator;NURS EDUC;0363-3624;1538-9855;NURSING - SCIE;1,810;2.791;Q1;1.14;1.19%;https://edmgr.ovid.com/ne/accounts/ifauth.htm;No;
CANCER NURSING;CANCER NURS;0162-220X;1538-9804;NURSING - SCIE;4,332;2.760;Q1;1.01;4.75%;https://journals.lww.com/cancernursingonline/_layouts/15/1033/oaks.journals/informationforauthors.aspx;No;
Journal of Psychiatric and Mental Health Nursing;J PSYCHIATR MENT HLT;1351-0126;1365-2850;NURSING - SCIE;3,386;2.720;Q1;0.80;12.45%;https://onlinelibrary.wiley.com/page/journal/13652850/homepage/forauthors.html;No;
Journal of Family Nursing;J FAM NURS;1074-8407;1552-549X;NURSING - SCIE;1,048;2.680;Q1;1.22;16.00%;https://journals.sagepub.com/author-instructions/JFN;No;
JOURNAL OF HUMAN LACTATION;J HUM LACT;0890-3344;1552-5732;NURSING - SCIE;2,875;2.665;Q1;1.02;5.26%;https://journals.sagepub.com/author-instructions/JHL;No;
Nursing Inquiry;NURS INQ;1320-7881;1440-1800;NURSING - SCIE;1,579;2.658;Q1;1.17;14.86%;https://onlinelibrary.wiley.com/page/journal/14401800/homepage/forauthors.html;No;
MIDWIFERY;MIDWIFERY;0266-6138;1532-3099;NURSING - SCIE;6,158;2.640;Q1;1.23;14.89%;https://www.elsevier.com/journals/midwifery/0266-6138/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
International Emergency Nursing;INT EMERG NURS;1755-599X;1878-013X;NURSING - SCIE;1,530;2.613;Q2;1.29;14.05%;https://www.elsevier.com/journals/international-emergency-nursing/1755-599X/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Asian Nursing Research;ASIAN NURS RES;1976-1317;2093-7482;NURSING - SCIE;1,486;2.612;Q2;1.17;96.90%;https://www.elsevier.com/journals/asian-nursing-research/1976-1317/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
European Journal of Oncology Nursing;EUR J ONCOL NURS;1462-3889;1532-2122;NURSING - SCIE;3,618;2.588;Q2;0.93;11.11%;https://www.elsevier.com/journals/european-journal-of-oncology-nursing/1462-3889/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
AMERICAN JOURNAL OF NURSING;AM J NURS;0002-936X;1538-7488;NURSING - SCIE;2,547;2.577;Q2;0.62;0.00%;https://journals.lww.com/ajnonline/Pages/informationforauthors.aspx;Yes;Artificial intelligence authoring tools and authorship policy. The journal does not consider Artificial Intelligence authoring tools to meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s  cknowledgements.
Geriatric Nursing;GERIATR NURS;0197-4572;1528-3984;NURSING - SCIE;2,543;2.525;Q2;0.79;9.73%;https://www.elsevier.com/journals/geriatric-nursing/0197-4572/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Journal of Pediatric Nursing-Nursing Care of Children & Families;J PEDIATR NURS;0882-5963;N/A;NURSING - SCIE;4,199;2.523;Q2;1.08;3.48%;https://www.elsevier.com/journals/journal-of-pediatric-nursing/0882-5963/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
JOURNAL OF PERINATAL & NEONATAL NURSING;J PERINAT NEONAT NUR;0893-2190;1550-5073;NURSING - SCIE;1,053;2.522;Q2;0.68;3.57%;https://journals.lww.com/jpnnjournal/Pages/informationforauthors.aspx;Yes;The journal does not consider Artificial Intelligence authoring tools to​ meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s Acknowledgements. 
Journal of Nursing Research;J NURS RES;1682-3141;1948-965X;NURSING - SCIE;1,363;2.517;Q2;1.13;96.95%;https://journals.lww.com/jnr-twna/Pages/informationforauthors.aspx;No;
International Journal of Older People Nursing;INT J OLDER PEOPLE N;1748-3735;1748-3743;NURSING - SCIE;1,273;2.471;Q2;0.76;20.11%;https://onlinelibrary.wiley.com/page/journal/17483743/homepage/forauthors.html;No;
Journal of Cardiovascular Nursing;J CARDIOVASC NURS;0889-4655;1550-5049;NURSING - SCIE;2,516;2.468;Q2;0.81;7.21%;https://journals.lww.com/jcnjournal/Pages/informationforauthors.aspx;No;
JOURNAL OF NURSING EDUCATION;J NURS EDUC;0148-4834;1938-2421;NURSING - SCIE;4,019;2.381;Q2;0.93;1.70%;https://journals.healio.com/journal/jne/submit-an-article#Authors;No;
Advances in Skin & Wound Care;ADV SKIN WOUND CARE;1527-7941;1538-8654;NURSING - SCIE;1,871;2.373;Q2;0.84;8.33%;https://journals.lww.com/aswcjournal/Pages/informationforauthors.aspx;No;
NURSING RESEARCH;NURS RES;0029-6562;1538-9847;NURSING - SCIE;5,831;2.364;Q2;1.12;3.08%;https://journals.lww.com/nursingresearchonline/Pages/informationforauthors.aspx;Yes;The journal does not consider Artificial Intelligence authoring tools to meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s Acknowledgements. 
Journal of School Nursing;J SCH NURS;1059-8405;1546-8364;NURSING - SCIE;1,561;2.361;Q2;1.21;7.14%;https://journals.sagepub.com/author-instructions/JSN;No;
Pain Management Nursing;PAIN MANAG NURS;1524-9042;1532-8635;NURSING - SCIE;2,037;2.356;Q2;1.11;2.59%;https://www.painmanagementnursing.org/content/authorinfo;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Workplace Health & Safety;WORKPLACE HEALTH SAF;2165-0799;2165-0969;NURSING - SCIE;1,172;2.338;Q2;1.01;3.70%;https://journals.sagepub.com/author-instructions/WHS;No;
EUROPEAN JOURNAL OF CANCER CARE;EUR J CANCER CARE;0961-5423;1365-2354;NURSING - SCIE;4,967;2.328;Q2;0.80;16.58%;https://www.hindawi.com/journals/ejcc/guidelines/;Yes;You can make use of a free artificial intelligence (AI)-based language editing tool, Writefull, at the point of submission. Writefull will scan your manuscript and make suggestions to help improve the quality of your writing. The tool applies machine learning, trained on millions of published scientific articles, and suggests improvements to grammar, spelling, and academic language.
Biological Research for Nursing;BIOL RES NURS;1099-8004;1552-4175;NURSING - SCIE;1,827;2.318;Q2;1.26;2.05%;https://journals.sagepub.com/author-instructions/BRN;No;
Journal of Emergency Nursing;J EMERG NURS;0099-1767;1527-2966;NURSING - SCIE;2,028;2.303;Q2;1.06;3.00%;https://www.elsevier.com/journals/journal-of-emergency-nursing/0099-1767/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
JOURNAL OF PROFESSIONAL NURSING;J PROF NURS;8755-7223;1532-8481;NURSING - SCIE;2,462;2.272;Q2;1.16;3.76%;https://www.sciencedirect.com/journal/journal-of-professional-nursing;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
ARCHIVES OF PSYCHIATRIC NURSING;ARCH PSYCHIAT NURS;0883-9417;1532-8228;NURSING - SCIE;3,076;2.242;Q2;0.84;4.66%;https://www.elsevier.com/journals/archives-of-psychiatric-nursing/0883-9417/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
RESEARCH IN NURSING & HEALTH;RES NURS HEALTH;0160-6891;1098-240X;NURSING - SCIE;6,990;2.238;Q2;1.13;6.19%;https://onlinelibrary.wiley.com/page/journal/1098240x/homepage/forauthors.html;No;
International Journal of Nursing Practice;INT J NURS PRACT;1322-7114;1440-172X;NURSING - SCIE;2,716;2.226;Q2;1.02;4.28%;https://onlinelibrary.wiley.com/page/journal/1440172x/homepage/forauthors.html;No;
PERSPECTIVES IN PSYCHIATRIC CARE;PERSPECT PSYCHIATR C;0031-5990;1744-6163;NURSING - SCIE;1,849;2.223;Q2;0.83;1.98%;https://www.hindawi.com/journals/ppc/;Yes;You can make use of a free artificial intelligence (AI)-based language editing tool, Writefull, at the point of submission. Writefull will scan your manuscript and make suggestions to help improve the quality of your writing. The tool applies machine learning, trained on millions of published scientific articles, and suggests improvements to grammar, spelling, and academic language.
Asia-Pacific Journal of Oncology Nursing;ASIA-PAC J ONCOL NUR;2347-5625;2349-6673;NURSING - SCIE;751;2.220;Q2;0.95;96.41%;https://www.elsevier.com/journals/asia-pacific-journal-of-oncology-nursing/2347-5625/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Nursing & Health Sciences;NURS HEALTH SCI;1441-0745;1442-2018;NURSING - SCIE;3,130;2.214;Q2;1.03;7.67%;https://onlinelibrary.wiley.com/page/journal/14422018/homepage/forauthors.html;No;
AMERICAN JOURNAL OF CRITICAL CARE;AM J CRIT CARE;1062-3264;1937-710X;NURSING - SCIE;3,091;2.207;Q2;0.77;0.00%;https://aacnjournals.org/ajcconline/pages/Instructions_for_Authors;No;
Critical Care Nurse;CRIT CARE NURSE;0279-5442;1940-8250;NURSING - SCIE;1,247;2.192;Q2;0.62;0.00%;https://aacnjournals.org/ccnonline/pages/instructions_for_authors;No;
ADVANCES IN NURSING SCIENCE;ADV NURS SCI;0161-9268;1550-5014;NURSING - SCIE;1,834;2.147;Q2;0.95;1.77%;https://journals.lww.com/advancesinnursingscience/Pages/Instructions-for-Authors.aspx;Yes;The journal does not consider Artificial Intelligence authoring tools to meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s Acknowledgements. ​
CIN-COMPUTERS INFORMATICS NURSING;CIN-COMPUT INFORM NU;1538-2931;1538-9774;NURSING - SCIE;1,586;2.146;Q2;0.62;4.58%;https://journals.lww.com/cinjournal/Pages/instructionsforauthors.aspx;No;
Contemporary Nurse;CONTEMP NURSE;1037-6178;1839-3535;NURSING - SCIE;2,033;2.139;Q2;0.78;0.98%;https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcnj20;No;
Journal of Hospice & Palliative Nursing;J HOSP PALLIAT NURS;1522-2179;1539-0705;NURSING - SCIE;1,082;2.131;Q3;0.96;3.81%;https://journals.lww.com/jhpn/_layouts/15/1033/oaks.journals/informationforauthors.aspx;No;
Australian Journal of Rural Health;AUST J RURAL HEALTH;1038-5282;1440-1584;NURSING - SCIE;1,949;2.060;Q3;0.71;4.86%;https://onlinelibrary.wiley.com/page/journal/14401584/homepage/forauthors.html;No;
Journal of the American Psychiatric Nurses Association;J AM PSYCHIAT NURSES;1078-3903;1532-5725;NURSING - SCIE;937;2.056;Q3;0.68;1.60%;https://journals.sagepub.com/author-instructions/JAP;No;
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING;JOGNN-J OBST GYN NEO;0884-2175;1552-6909;NURSING - SCIE;3,598;2.042;Q3;0.72;2.66%;https://www.elsevier.com/journals/journal-of-obstetric-gynecologic-and-neonatal-nursing/0884-2175/guide-for-authors;No;
Journal of Wound Ostomy and Continence Nursing;J WOUND OSTOMY CONT;1071-5754;1528-3976;NURSING - SCIE;2,031;1.970;Q3;1.08;7.50%;https://edmgr.ovid.com/jwocn/accounts/ifauth.htm;No;
Journal of Pediatric Oncology Nursing;J PEDIATR ONCOL NURS;1043-4542;1532-8457;NURSING - SCIE;1,459;1.966;Q3;0.62;1.75%;https://journals.sagepub.com/author-instructions/JPO;No;
Nursing Open;NURS OPEN;2054-1058;2054-1058;NURSING - SCIE;1,586;1.942;Q3;0.93;86.56%;https://onlinelibrary.wiley.com/page/journal/20541058/homepage/forauthors.html;No;
Journal of Child Health Care;J CHILD HEALTH CARE;1367-4935;1741-2889;NURSING - SCIE;1,339;1.896;Q3;0.78;10.47%;https://journals.sagepub.com/author-instructions/CHC;No;
Advances in Neonatal Care;ADV NEONAT CARE;1536-0903;1536-0911;NURSING - SCIE;1,557;1.874;Q3;1.05;1.49%;https://journals.lww.com/advancesinneonatalcare/Pages/Information-for-Authors.aspx;No;
Journal of Transcultural Nursing;J TRANSCULT NURS;1043-6596;1552-7832;NURSING - SCIE;2,033;1.869;Q3;1.05;4.74%;https://journals.sagepub.com/author-instructions/TCN;No;
Journal of Nursing Regulation;J NURS REGUL;2155-8256;2155-8264;NURSING - SCIE;632;1.864;Q3;1.09;0.00%;https://www.elsevier.com/journals/journal-of-nursing-regulation/2155-8256/guide-for-authors;No;
APPLIED NURSING RESEARCH;APPL NURS RES;0897-1897;1532-8201;NURSING - SCIE;3,197;1.847;Q3;1.14;4.10%;https://www.elsevier.com/journals/applied-nursing-research/0897-1897/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
Journal of Pediatric Health Care;J PEDIATR HEALTH CAR;0891-5245;1532-656X;NURSING - SCIE;1,816;1.838;Q3;0.66;1.50%;https://www.elsevier.com/journals/journal-of-pediatric-health-care/0891-5245/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE;J ASSOC NURSE AIDS C;1055-3290;1552-6917;NURSING - SCIE;1,681;1.809;Q3;0.84;7.46%;https://journals.lww.com/janac/Pages/informationforauthors.aspx;No;
Collegian;COLLEGIAN;1322-7696;1876-7575;NURSING - SCIE;1,514;1.807;Q3;1.04;6.39%;https://www.elsevier.com/journals/collegian/1322-7696/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
JOURNAL OF NURSING ADMINISTRATION;J NURS ADMIN;0002-0443;1539-0721;NURSING - SCIE;3,212;1.806;Q3;0.87;0.64%;https://edmgr.ovid.com/jona/accounts/ifauth.htm;Yes;The journal does not consider artificial intelligence authoring tools to meet the requirements for authorship as recommended by the ICMJE. The use of such tools may be included in the article’s acknowledgements. 
ONCOLOGY NURSING FORUM;ONCOL NURS FORUM;0190-535X;1538-0688;NURSING - SCIE;4,229;1.803;Q3;0.67;0.00%;https://www.ons.org/onf/authors;No;
Nursing Philosophy;NURS PHILOS;1466-7681;1466-769X;NURSING - SCIE;633;1.800;Q3;0.94;8.13%;https://onlinelibrary.wiley.com/page/journal/1466769x/homepage/forauthors.html;No;
Issues in Mental Health Nursing;ISSUES MENT HEALTH N;0161-2840;1096-4673;NURSING - SCIE;3,502;1.790;Q3;0.61;11.14%;https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=imhn20;No;
Australasian Emergency Care;AUSTRALAS EMERG CARE;N/A;2588-994X;NURSING - SCIE;225;1.778;Q3;0.74;5.93%;https://www.elsevier.com/journals/australasian-emergency-care/2588-994X/guide-for-authors;No;
WESTERN JOURNAL OF NURSING RESEARCH;WESTERN J NURS RES;0193-9459;1552-8456;NURSING - SCIE;3,218;1.774;Q3;0.94;3.00%;https://journals.sagepub.com/author-instructions/WJN;No;
PUBLIC HEALTH NURSING;PUBLIC HEALTH NURS;0737-1209;1525-1446;NURSING - SCIE;2,334;1.770;Q3;0.61;6.27%;https://onlinelibrary.wiley.com/page/journal/15251446/homepage/forauthors.html;No;
MCN-The American Journal of Maternal-Child Nursing;MCN-AM J MATERN-CHIL;0361-929X;1539-0683;NURSING - SCIE;1,121;1.753;Q3;0.73;0.00%;https://edmgr.ovid.com/mcn/accounts/ifauth.htm;No;
JOURNAL OF NURSING CARE QUALITY;J NURS CARE QUAL;1057-3631;1550-5065;NURSING - SCIE;1,397;1.728;Q3;0.97;2.45%;https://edmgr.ovid.com/jncq/accounts/ifauth.htm;Yes;The journal does not consider artificial intelligence authoring tools to meet the requirements for authorship as recommended by the ICMJE. The use of such tools may be included in the article’s acknowledgements
Revista Latino-Americana de Enfermagem;REV LAT-AM ENFERM;1518-8345;1518-8345;NURSING - SCIE;3,293;1.725;Q3;0.75;93.47%;http://rlae.eerp.usp.br/files/Instructions_to_Authors.pdf;No;
Clinical Nursing Research;CLIN NURS RES;1054-7738;1552-3799;NURSING - SCIE;1,266;1.724;Q3;0.93;2.89%;https://journals.sagepub.com/author-instructions/CNR;No;
Japan Journal of Nursing Science;JPN J NURS SCI;1742-7932;1742-7924;NURSING - SCIE;860;1.691;Q3;0.79;5.76%;https://onlinelibrary.wiley.com/page/journal/17427924/homepage/forauthors.html;No;
Research in Gerontological Nursing;RES GERONTOL NURS;1940-4921;1938-2464;NURSING - SCIE;636;1.643;Q3;0.80;4.71%;https://journals.healio.com/journal/rgn/submit-an-article#Authors;No;
JOURNAL OF NEUROSCIENCE NURSING;J NEUROSCI NURS;0888-0395;1945-2810;NURSING - SCIE;1,387;1.627;Q3;0.58;4.52%;https://edmgr.ovid.com/neuronurse/accounts/ifauth.htm;No;
NURSING CLINICS OF NORTH AMERICA;NURS CLIN N AM;0029-6465;1558-1357;NURSING - SCIE;1,025;1.617;Q3;0.79;1.40%;https://www.theclinics.com/authorinformation;No;
Journal of Renal Care;J RENAL CARE;1755-6678;1755-6686;NURSING - SCIE;671;1.585;Q3;0.58;13.27%;https://onlinelibrary.wiley.com/page/journal/17556686/homepage/forauthors.html;No;
Journal of the American Association of Nurse Practitioners;J AM ASSOC NURSE PRA;2327-6886;2327-6924;NURSING - SCIE;1,355;1.495;Q4;0.54;2.47%;https://journals.lww.com/jaanp/Pages/informationforauthors.aspx;Yes;The journal does not consider Artificial Intelligence authoring tools to meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s Acknowledgements.
Rehabilitation Nursing;REHABIL NURS;0278-4807;2048-7940;NURSING - SCIE;1,087;1.462;Q4;0.78;3.45%;https://edmgr.ovid.com/rnj/accounts/ifauth.htm;No;
Critical Care Nursing Clinics of North America;CRIT CARE NURS CLIN;0899-5885;1558-3481;NURSING - SCIE;698;1.460;Q4;0.53;0.00%;https://www.theclinics.com/authorinformation;No;
Journal of Gerontological Nursing;J GERONTOL NURS;0098-9134;1938-243X;NURSING - SCIE;1,840;1.436;Q4;0.46;4.00%;https://journals.healio.com/journal/jgn/submit-an-article#Authors;No;
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;J PSYCHOSOC NURS MEN;0279-3695;1938-2413;NURSING - SCIE;1,218;1.392;Q4;0.63;2.56%;https://journals.healio.com/journal/jpn/submit-an-article#Authors;No;
Pflege;PFLEGE;1012-5302;1664-283X;NURSING - SCIE;210;1.317;Q4;0.57;7.55%;https://www.hogrefe.com/ch/autorenrichtlinien-pflege;No;
Journal for Specialists in Pediatric Nursing;J SPEC PEDIATR NURS;1539-0136;1744-6155;NURSING - SCIE;878;1.309;Q4;0.59;6.06%;https://onlinelibrary.wiley.com/page/journal/17446155/homepage/forauthors.html;No;
Journal of PeriAnesthesia Nursing;J PERIANESTH NURS;1089-9472;1532-8473;NURSING - SCIE;1,126;1.295;Q4;0.64;2.10%;https://www.elsevier.com/journals/journal-of-perianesthesia-nursing/1089-9472/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language. Applying the technology should be done with human oversight and control, and authors should carefully review and edit the result, as AI can generate authoritative-sounding output that can be incorrect, incomplete or biased
Clinical Journal of Oncology Nursing;CLIN J ONCOL NURS;1092-1095;1538-067X;NURSING - SCIE;2,142;1.283;Q4;0.43;0.00%;https://www.ons.org/cjon/authors;No;
Journal of Korean Academy of Nursing;J KOREAN ACAD NURS;2005-3673;2093-758X;NURSING - SCIE;1,369;1.277;Q4;0.49;34.76%;https://jkan.or.kr/index.php?body=instructions;No;
Holistic Nursing Practice;HOLIST NURS PRACT;0887-9311;1550-5138;NURSING - SCIE;974;1.226;Q4;0.48;0.77%;https://journals.lww.com/hnpjournal/Pages/informationforauthors.aspx;No;
Wound Management & Prevention;WOUND MANAG PREV;2640-5237;2640-5245;NURSING - SCIE;104;1.222;Q4;0.48;0.00%;https://www.hmpgloballearningnetwork.com/site/wmp/author-instructions;No;
Australian Journal of Advanced Nursing;AUST J ADV NURS;0813-0531;1447-4328;NURSING - SCIE;818;1.206;Q4;0.36;0.00%;https://www.ajan.com.au/index.php/AJAN/about/submissions;No;
Journal of Forensic Nursing;J FORENSIC NURS;1556-3693;1939-3938;NURSING - SCIE;513;1.200;Q4;0.54;3.30%;https://edmgr.ovid.com/jfn/accounts/ifauth.htm;Yes;The journal does not consider Artificial Intelligence authoring tools to meet the requirements for Authorship as recommended by the ICMJE. The use of such tools may be included in the article’s Acknowledgements.
NURSING ECONOMICS;NURS ECON;0746-1739;N/A;NURSING - SCIE;787;1.193;Q4;0.49;0.00%;http://www.nursingeconomics.net/cgi-bin/WebObjects/NECJournal.woa/wa/viewSection?s_id=1073744458;No;
